,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,373,7,2,16,0
Light_T1,1,255,116,24,0
Light_XM,0,47,323,24,0
Sensor,0,41,101,257,0
Socket,0,0,0,0,406
