,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,286,13,29,71,0
Light_T1,10,266,54,64,0
Light_XM,4,121,226,44,0
Sensor,2,68,26,309,0
Socket,0,0,0,0,395
