,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,331,3,0,1,0
Light_T1,0,306,6,15,0
Light_XM,2,24,299,6,0
Sensor,1,13,16,297,0
Socket,0,0,0,0,332
