,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,370,10,2,16,0
Light_T1,3,272,95,26,0
Light_XM,0,54,317,23,0
Sensor,1,52,94,252,0
Socket,0,0,0,0,406
