,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,584,24,31,158,0
Light_T1,9,324,133,324,0
Light_XM,4,157,326,302,0
Sensor,1,39,15,749,0
Socket,0,0,2,1,798
