,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,297,2,38,26,0
Light_T1,3,18,196,148,0
Light_XM,1,45,305,12,0
Sensor,3,131,14,214,0
Socket,0,0,0,0,363
