,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,227,0,114,22,0
Light_T1,5,0,306,54,0
Light_XM,1,305,55,2,0
Sensor,7,257,13,85,0
Socket,0,0,0,0,363
