,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,107,1,0,1,0
Light_T1,1,39,59,10,0
Light_XM,5,32,66,6,0
Sensor,2,10,3,94,0
Socket,0,0,0,0,109
