,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,345,1,1,15,0
Light_T1,1,173,98,91,0
Light_XM,1,24,292,48,0
Sensor,0,70,15,278,0
Socket,0,0,0,0,363
