,precision,recall,f1-score,support
Camera,0.9942363112391931,0.9530386740331491,0.9732016925246827,362.0
Light_T1,0.6455223880597015,0.4765840220385675,0.5483359746434231,363.0
Light_XM,0.7192118226600985,0.8,0.7574578469520103,365.0
Sensor,0.6435185185185185,0.7658402203856749,0.6993710691823899,363.0
Socket,1.0,1.0,1.0,363.0
accuracy,0.7990088105726872,0.7990088105726872,0.7990088105726872,0.7990088105726872
macro avg,0.8004978080955023,0.7990925832914784,0.7956733166605012,1816.0
weighted avg,0.8003016018873446,0.7990088105726872,0.7955334712225711,1816.0
