,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,336,3,2,21,0
Light_T1,2,170,92,99,0
Light_XM,2,30,293,40,0
Sensor,0,62,16,285,0
Socket,0,0,0,0,363
