,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,57,341,1,0,0
Light_T1,0,394,0,0,0
Light_XM,0,395,0,0,0
Sensor,0,405,0,0,0
Socket,0,0,0,0,395
