feature,mutual_info,correlation_kept,correlation_dropped,model_importance,shap_importance,mi_norm,model_norm,shap_norm,joint_score,selected
up_len_p50,0.5055800056808812,True,False,0.06681439078891466,0.03819742459917772,0.5993711138594248,1.0,1.0,0.8664570379531416,True
rssi_min,0.6577107463978167,True,False,0.06287708839051816,0.02768042019869933,0.7797239175526208,0.941071042451984,0.7246671860514703,0.8151540486853585,True
rssi_std,0.5271331157792973,True,False,0.06178347596829663,0.027896102980919307,0.6249225823939151,0.9247031251618817,0.7303137128653387,0.7599798068070452,True
rssi_p10,0.5788558908129517,True,False,0.050355301054942965,0.026688937225374337,0.6862405477712674,0.7536595104792535,0.6987103844155208,0.7128701475553473,True
len_max,0.8435174702120511,True,False,0.02343279850369937,0.009000720669533715,1.0,0.35071484192275487,0.23563684630527354,0.5287838960760095,True
rssi_max,0.4333292910579747,True,False,0.0355653565951268,0.01572156007105135,0.5137170317871904,0.532300843803062,0.41158691288809535,0.4858682628261159,True
up_packet_ratio,0.492374543639821,True,False,0.02829590069736226,0.015282531924960235,0.5837158814458738,0.4235000927682918,0.40009325459311784,0.4691030762690945,True
up_ia_mean,0.5081864206062332,True,False,0.027797673590151558,0.013706879267571094,0.6024610497734927,0.41604320958298013,0.3588430217849337,0.4591157603804688,True
len_p10,0.5083393632299096,True,False,0.02872098799445431,0.009882671051200435,0.6026423650740969,0.42986230444264534,0.2587261092836395,0.4304102596001272,True
len_min,0.31863948625521044,True,False,0.03206233214547375,0.016227981762025907,0.37775090322089944,0.4798716529013581,0.4248449190570625,0.42748915839310664,True
down_packet_ratio,0.3737578907887733,True,False,0.02718426066913439,0.013081467594070613,0.443094427783238,0.4068623592635465,0.3424698845888217,0.3974755572118687,True
burst_count,0.33688266319335547,True,False,0.03076594159163632,0.012641352710014828,0.3993784066009526,0.46046878866013363,0.33094777573792133,0.3969316569996692,True
null_data_ratio,0.42675870771251523,True,False,0.02368651195154598,0.009385533577992114,0.5059275270318144,0.3545121293761144,0.24571116185131908,0.3687169394197493,True
down_ia_std,0.43665428946070994,True,False,0.02170489161575262,0.009425934430296828,0.5176588569658668,0.3248535436673282,0.246768847093941,0.3630937492423787,True
rssi_p90,0.304146726691334,True,False,0.026659405063764508,0.01247469249255843,0.3605695642733693,0.3990069317250684,0.32658464866311887,0.3620537148871856,True
len_p90,0.5696380638626517,True,False,0.015782979518207688,0.0057480423808547775,0.6753127042163701,0.2362212591007607,0.15048245899223572,0.3540054741031222,True
rssi_p50,0.40308903641536675,True,False,0.022288099281181428,0.009377901364417468,0.4778668500061232,0.3335823168933137,0.2455113522135036,0.35232017303764684,True
len_up_down_diff,0.5124576251153283,True,False,0.01592815403216015,0.004995672662752868,0.6075246135524639,0.23839406217863515,0.1307855886928149,0.3255680881413046,True
len_p25,0.44152207065972915,True,False,0.016309637085879486,0.005477368536298019,0.5234296695108582,0.2441036563126975,0.14339627851286943,0.303643201445475,True
up_down_ratio,0.5019977339774915,True,False,0.00829382307005557,0.005041599358295709,0.5951242881209025,0.12413228605583003,0.13198793927076014,0.28374817114916423,True
