,precision,recall,f1-score,support
Camera,0.8461538461538461,0.15151515151515152,0.2570093457943925,363.0
Light_T1,0.32233223322332233,0.8027397260273973,0.4599686028257457,365.0
Light_XM,0.9139784946236559,0.46831955922865015,0.6193078324225865,363.0
Sensor,0.3924914675767918,0.31767955801104975,0.3511450381679389,362.0
Socket,1.0,1.0,1.0,363.0
accuracy,0.5484581497797357,0.5484581497797357,0.5484581497797357,0.5484581497797357
macro avg,0.6949912083155232,0.5480507989564497,0.5374861638421328,1816.0
weighted avg,0.6947473656891765,0.5484581497797357,0.5375034028309221,1816.0
