,precision,recall,f1-score,support
Camera,0.9919354838709677,0.9461538461538461,0.968503937007874,390.0
Light_T1,0.8220640569395018,0.6328767123287671,0.7151702786377709,365.0
Light_XM,0.8026315789473685,0.6630434782608695,0.7261904761904762,368.0
Sensor,0.6458333333333334,0.9419889502762431,0.7662921348314606,362.0
Socket,1.0,1.0,1.0,368.0
accuracy,0.8381003777657852,0.8381003777657852,0.8381003777657852,0.8381003777657852
macro avg,0.8524928906182343,0.8368125974039451,0.8352313653335163,1853.0
weighted avg,0.8548668684359925,0.8381003777657852,0.8372312656141075,1853.0
