,precision,recall,f1-score,support
Camera,1.0,1.0,1.0,119.0
Light_T1,0.7387387387387387,0.6890756302521008,0.7130434782608696,119.0
Light_XM,0.6935483870967742,0.7288135593220338,0.7107438016528925,118.0
Sensor,0.7950819672131147,0.8083333333333333,0.8016528925619835,120.0
Socket,1.0,1.0,1.0,122.0
accuracy,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461
macro avg,0.8454738186097256,0.8452445045814937,0.8450880344951491,598.0
weighted avg,0.8464188221620451,0.8461538461538461,0.8460172067149211,598.0
