,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,331,2,1,1,0
Light_T1,0,302,9,16,0
Light_XM,2,23,295,11,0
Sensor,1,12,12,302,0
Socket,0,0,0,0,332
