,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,373,6,1,18,0
Light_T1,1,287,85,23,0
Light_XM,0,64,308,22,0
Sensor,0,66,77,256,0
Socket,0,0,0,0,406
