variant,cpd_dir_variant,cpd_dir_role,model,n,k_predictors,r2,adj_r2,cv_mse_pooled_loeo,design_rank,design_n_params,design_rank_deficient,zero_variance_terms,n_boot_degenerate_replicates_this_model,n_boot_replicates,r2_boot_ci_lo,r2_boot_ci_hi,baseline_model,delta_r2,delta_r2_boot_ci_lo,delta_r2_boot_ci_hi,cohens_f2,cv_mse_improvement_vs_baseline,cv_mse_rel_improvement
sens_dv_a_arm,strict,parallel_reported,M0,150,7,0.12767060692335197,0.08466845374351728,0.003441231802729346,8,8,False,,0,10000,0.09249398430509548,0.317170931169273,,,,,,,
sens_dv_a_arm,strict,parallel_reported,M1,150,8,0.3949844286278632,0.3606573040110044,0.002621307334148623,9,9,False,,0,10000,0.357482838070858,0.5391427633083359,M0,0.26731382170451123,0.11948814082448833,0.3958929286085572,0.4418296558851543,0.0008199244685807229,0.23826481782785333
sens_dv_a_arm,strict,parallel_reported,M0_sub,26,7,0.5957100551080045,0.43848618765000624,0.0221622349029163,7,8,True,d_recall_Socket,10000,10000,0.48470452966610467,0.9253353886229851,,,,,,,
sens_dv_a_arm,strict,parallel_reported,M2,26,8,0.8679349350286988,0.8057866691598512,0.004518962901604677,8,9,True,d_recall_Socket,10000,10000,0.8433276895230132,0.9961058238112073,M0_sub,0.27222487992069433,0.0011945160116538789,0.42649755774707043,2.0612936508216686,0.017643272001311622,0.7960962456448816
sens_dv_a_arm,lenient,primary,M0,150,7,0.12767060692335197,0.08466845374351728,0.003441231802729346,8,8,False,,0,10000,0.09249398430509548,0.317170931169273,,,,,,,
sens_dv_a_arm,lenient,primary,M1,150,8,0.3949844286278632,0.3606573040110044,0.002621307334148623,9,9,False,,0,10000,0.357482838070858,0.5391427633083359,M0,0.26731382170451123,0.11948814082448833,0.3958929286085572,0.4418296558851543,0.0008199244685807229,0.23826481782785333
sens_dv_a_arm,lenient,primary,M0_sub,119,7,0.21035426413739222,0.1605567852992098,0.0039978820396061035,8,8,False,,0,10000,0.17274683066925078,0.4454463274929066,,,,,,,
sens_dv_a_arm,lenient,primary,M2,119,8,0.6921071644413053,0.6697149582188547,0.0016197745549588753,9,9,False,,0,10000,0.6550634784140046,0.8192987296983186,M0_sub,0.48175290030391305,0.2976604388042904,0.5668006335497533,1.5646772015001134,0.002378107484647228,0.5948418340230804
