variant,task,n_sources,source_envs,target_env,n_ref,n_ref_dir_defined,cpd_dir_strict,cpd_dir_lenient,per_ref_cpd_dir,dir_included_rows,defined_strict,defined_lenient
primary,g0_R2_R6_R7_to_R3,3,R2;R6;R7,R3,3,2,,0.9697092258603053,nan;0.8991985396431487;1.040219912077462,|Light_T1;Light_XM;Sensor|Light_T1;Light_XM;Sensor,False,True
primary,g0_R4_R5_R6_to_R3,3,R4;R5;R6,R3,3,2,,0.32644365263738234,0.03164486698029932;nan;0.6212424382944653,Light_T1||Light_T1;Light_XM;Sensor,False,True
primary,g0_R4_R5_R7_to_R3,3,R4;R5;R7,R3,3,2,,0.36950722825057064,0.011142814474134403;nan;0.7278716420270068,Light_T1||Light_T1;Light_XM;Sensor,False,True
primary,g0_R4_R6_R7_to_R3,3,R4;R6;R7,R3,3,3,0.610876066166863,0.610876066166863,0.0933627132204622;0.8437881823761773;0.8954773029039493,Light_T1|Light_T1;Light_XM;Sensor|Light_T1;Light_XM;Sensor,True,True
primary,g0_R5_R6_R7_to_R3,3,R5;R6;R7,R3,3,2,,0.5474506560753414,nan;0.4967462711793682;0.5981550409713146,|Light_T1;Light_XM;Sensor|Light_T1;Light_XM;Sensor,False,True
primary,g0_R2_to_R4,1,R2,R4,1,0,,,nan,,False,False
primary,g0_R3_to_R4,1,R3,R4,1,0,,,nan,,False,False
primary,g0_R5_to_R4,1,R5,R4,1,0,,,nan,,False,False
primary,g0_R6_to_R4,1,R6,R4,1,1,1.382841611456686,1.382841611456686,1.382841611456686,Light_T1;Light_XM;Sensor,True,True
primary,g0_R7_to_R4,1,R7,R4,1,1,1.9437242309233067,1.9437242309233067,1.9437242309233067,Light_T1;Light_XM;Sensor,True,True
primary,g0_R2_R3_to_R4,2,R2;R3,R4,2,0,,,nan;nan,|,False,False
primary,g0_R2_R5_to_R4,2,R2;R5,R4,2,0,,,nan;nan,|,False,False
primary,g0_R2_R6_to_R4,2,R2;R6,R4,2,1,,0.7992019963689924,nan;0.7992019963689924,|Light_T1;Light_XM,False,True
primary,g0_R2_R7_to_R4,2,R2;R7,R4,2,1,,0.8140684591147163,nan;0.8140684591147163,|Light_T1;Light_XM,False,True
primary,g0_R3_R5_to_R4,2,R3;R5,R4,2,0,,,nan;nan,|,False,False
primary,g0_R3_R6_to_R4,2,R3;R6,R4,2,1,,1.0226865428320735,nan;1.0226865428320735,|Light_T1;Light_XM;Sensor,False,True
primary,g0_R3_R7_to_R4,2,R3;R7,R4,2,1,,1.174753255558373,nan;1.174753255558373,|Light_T1;Light_XM;Sensor,False,True
primary,g0_R5_R6_to_R4,2,R5;R6,R4,2,1,,0.9519782874155114,nan;0.9519782874155114,|Light_T1;Light_XM;Sensor,False,True
primary,g0_R5_R7_to_R4,2,R5;R7,R4,2,1,,0.8998938588559164,nan;0.8998938588559164,|Light_T1;Light_XM;Sensor,False,True
