variant,cpd_dir_variant,cpd_dir_role,model,term,std_beta,boot_ci_lo,boot_ci_hi,n_boot_finite,design_rank_deficient,n_boot_degenerate_replicates_this_model,B
primary,lenient,primary,M2,d_recall_l2,0.05701323891700372,-0.49090285168321746,0.5848038448415864,10000,False,0,10000
primary,lenient,primary,M2,d_recall_max,0.5781857425890201,-0.21604710037697938,1.236322229537462,10000,False,0,10000
primary,lenient,primary,M2,cpd_dir_lenient,-0.2956072579944082,-0.555496380663127,-0.17536070331701062,10000,False,0,10000
sens_dv_a_arm,strict,parallel_reported,M0,d_recall_Camera,0.3281051589998747,,,0,False,0,10000
sens_dv_a_arm,strict,parallel_reported,M0,d_recall_Light_T1,0.005472756236632875,,,0,False,0,10000
sens_dv_a_arm,strict,parallel_reported,M0,d_recall_Light_XM,-0.0598051881433496,,,0,False,0,10000
sens_dv_a_arm,strict,parallel_reported,M0,d_recall_Sensor,-0.2440344640028438,,,0,False,0,10000
sens_dv_a_arm,strict,parallel_reported,M0,d_recall_Socket,-0.09846108050823377,,,0,False,0,10000
sens_dv_a_arm,strict,parallel_reported,M0,d_recall_l2,-0.283183780212831,,,0,False,0,10000
sens_dv_a_arm,strict,parallel_reported,M0,d_recall_max,0.23389411468949145,,,0,False,0,10000
sens_dv_a_arm,strict,parallel_reported,M1,d_recall_Camera,0.034092671808645836,-0.25185816583821397,0.4056384752149979,10000,False,0,10000
sens_dv_a_arm,strict,parallel_reported,M1,d_recall_Light_T1,-0.094221693510736,-0.5016361738205024,0.18503246555549402,10000,False,0,10000
sens_dv_a_arm,strict,parallel_reported,M1,d_recall_Light_XM,0.1910872871883872,-0.09073894894075113,0.42577072892411455,10000,False,0,10000
sens_dv_a_arm,strict,parallel_reported,M1,d_recall_Sensor,-0.22480178081291186,-0.4841589707738769,-0.11282418113060541,10000,False,0,10000
sens_dv_a_arm,strict,parallel_reported,M1,d_recall_Socket,-0.025563518871383306,-0.3065777010529056,0.1485389334601805,10000,False,0,10000
sens_dv_a_arm,strict,parallel_reported,M1,d_recall_l2,1.939233446220457,1.0276522551970055,3.3064255049614366,10000,False,0,10000
sens_dv_a_arm,strict,parallel_reported,M1,d_recall_max,-0.4492852229127803,-1.172609959916354,0.23631081186846417,10000,False,0,10000
sens_dv_a_arm,strict,parallel_reported,M1,cpd_y,-1.5576254823504203,-2.112382807360094,-1.1451629115567052,10000,False,0,10000
sens_dv_a_arm,strict,parallel_reported,M0_sub,d_recall_Camera,0.4564435734010901,,,0,True,10000,10000
sens_dv_a_arm,strict,parallel_reported,M0_sub,d_recall_Light_T1,-0.37403036493381436,,,0,True,10000,10000
sens_dv_a_arm,strict,parallel_reported,M0_sub,d_recall_Light_XM,0.19838209055483372,,,0,True,10000,10000
sens_dv_a_arm,strict,parallel_reported,M0_sub,d_recall_Sensor,-0.8141758586576275,,,0,True,10000,10000
sens_dv_a_arm,strict,parallel_reported,M0_sub,d_recall_Socket,3.3306690738754696e-16,,,0,True,10000,10000
sens_dv_a_arm,strict,parallel_reported,M0_sub,d_recall_l2,0.012550269689363375,,,0,True,10000,10000
sens_dv_a_arm,strict,parallel_reported,M0_sub,d_recall_max,0.4369393920540398,,,0,True,10000,10000
sens_dv_a_arm,strict,parallel_reported,M2,d_recall_Camera,0.3534063144342866,-1.0691950947060835,1.1370754876718427,10000,True,10000,10000
sens_dv_a_arm,strict,parallel_reported,M2,d_recall_Light_T1,-0.2727227861181011,-1.649189905836785,0.38980244761652605,10000,True,10000,10000
sens_dv_a_arm,strict,parallel_reported,M2,d_recall_Light_XM,0.052595281820006834,-1.489805952259956,0.7329770044250242,10000,True,10000,10000
sens_dv_a_arm,strict,parallel_reported,M2,d_recall_Sensor,-0.6182622629989616,-1.071007318161088,0.8286074467592508,10000,True,10000,10000
sens_dv_a_arm,strict,parallel_reported,M2,d_recall_Socket,3.885780586188048e-16,-2.7200464103316335e-15,2.526017589543624e-15,10000,True,10000,10000
sens_dv_a_arm,strict,parallel_reported,M2,d_recall_l2,-0.17270373058910654,-0.8279355942261777,0.17109413158339762,10000,True,10000,10000
sens_dv_a_arm,strict,parallel_reported,M2,d_recall_max,0.37407335853780216,-0.35010121953387485,2.7682718822501315,10000,True,10000,10000
sens_dv_a_arm,strict,parallel_reported,M2,cpd_dir_strict,-0.6044431713989562,-1.049964323492635,-0.10995570068850541,10000,True,10000,10000
sens_dv_a_arm,lenient,primary,M0,d_recall_Camera,0.3281051589998747,,,0,False,0,10000
sens_dv_a_arm,lenient,primary,M0,d_recall_Light_T1,0.005472756236632875,,,0,False,0,10000
sens_dv_a_arm,lenient,primary,M0,d_recall_Light_XM,-0.0598051881433496,,,0,False,0,10000
sens_dv_a_arm,lenient,primary,M0,d_recall_Sensor,-0.2440344640028438,,,0,False,0,10000
sens_dv_a_arm,lenient,primary,M0,d_recall_Socket,-0.09846108050823377,,,0,False,0,10000
sens_dv_a_arm,lenient,primary,M0,d_recall_l2,-0.283183780212831,,,0,False,0,10000
sens_dv_a_arm,lenient,primary,M0,d_recall_max,0.23389411468949145,,,0,False,0,10000
sens_dv_a_arm,lenient,primary,M1,d_recall_Camera,0.034092671808645836,-0.25185816583821397,0.4056384752149979,10000,False,0,10000
sens_dv_a_arm,lenient,primary,M1,d_recall_Light_T1,-0.094221693510736,-0.5016361738205024,0.18503246555549402,10000,False,0,10000
sens_dv_a_arm,lenient,primary,M1,d_recall_Light_XM,0.1910872871883872,-0.09073894894075113,0.42577072892411455,10000,False,0,10000
sens_dv_a_arm,lenient,primary,M1,d_recall_Sensor,-0.22480178081291186,-0.4841589707738769,-0.11282418113060541,10000,False,0,10000
sens_dv_a_arm,lenient,primary,M1,d_recall_Socket,-0.025563518871383306,-0.3065777010529056,0.1485389334601805,10000,False,0,10000
sens_dv_a_arm,lenient,primary,M1,d_recall_l2,1.939233446220457,1.0276522551970055,3.3064255049614366,10000,False,0,10000
sens_dv_a_arm,lenient,primary,M1,d_recall_max,-0.4492852229127803,-1.172609959916354,0.23631081186846417,10000,False,0,10000
sens_dv_a_arm,lenient,primary,M1,cpd_y,-1.5576254823504203,-2.112382807360094,-1.1451629115567052,10000,False,0,10000
sens_dv_a_arm,lenient,primary,M0_sub,d_recall_Camera,0.40466964704670116,,,0,False,0,10000
sens_dv_a_arm,lenient,primary,M0_sub,d_recall_Light_T1,-0.18031473390878336,,,0,False,0,10000
sens_dv_a_arm,lenient,primary,M0_sub,d_recall_Light_XM,-0.05994166973265501,,,0,False,0,10000
sens_dv_a_arm,lenient,primary,M0_sub,d_recall_Sensor,-0.31581496307658913,,,0,False,0,10000
sens_dv_a_arm,lenient,primary,M0_sub,d_recall_Socket,0.031195140430964753,,,0,False,0,10000
