variant,cpd_dir_variant,cpd_dir_role,stat,boot_mean,boot_sd,ci_lo,ci_hi,n_finite,B,seed,n_degenerate_replicates_any_model,n_degenerate_replicates_by_model,md5
primary,lenient,primary,r2_M0,0.18403850548129075,0.06514553910921175,0.10104648808876215,0.3457331641834315,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,f52f40a425bf87fc46f341efd1e49685
primary,lenient,primary,r2_M1,0.2059697863582355,0.06366611124275391,0.12531233066503955,0.36399812188689384,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,f52f40a425bf87fc46f341efd1e49685
primary,lenient,primary,r2_M0_sub,0.1708591803848803,0.06986370985392518,0.08486042194426446,0.34704531767866753,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,f52f40a425bf87fc46f341efd1e49685
primary,lenient,primary,r2_M2,0.2723981561353054,0.07459867280921498,0.16106856941246972,0.465953578650498,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,f52f40a425bf87fc46f341efd1e49685
primary,lenient,primary,dr2_M1_vs_M0,0.02193128087694477,0.0284533950301826,6.695235612452499e-05,0.10250126994732589,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,f52f40a425bf87fc46f341efd1e49685
primary,lenient,primary,dr2_M2_vs_M0sub,0.10153897575042505,0.053024619368409555,0.023126227489015383,0.2138928234043299,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,f52f40a425bf87fc46f341efd1e49685
primary,lenient,primary,beta_M1_d_recall_Camera,-0.22138509270700268,0.09647096545312757,-0.3754948460544225,0.004643528087596049,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,f52f40a425bf87fc46f341efd1e49685
primary,lenient,primary,beta_M1_d_recall_Light_T1,0.024979409865701883,0.12769798266989782,-0.2709006176190245,0.23863722678320912,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,f52f40a425bf87fc46f341efd1e49685
primary,lenient,primary,beta_M1_d_recall_Light_XM,-0.1878187428410614,0.1417208896279969,-0.5158112633437459,0.049816689677021124,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,f52f40a425bf87fc46f341efd1e49685
primary,lenient,primary,beta_M1_d_recall_Sensor,0.13546099381834525,0.07742270602987142,-0.01809372587448964,0.3030862838417166,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,f52f40a425bf87fc46f341efd1e49685
primary,lenient,primary,beta_M1_d_recall_Socket,-0.0410019748716203,0.1451376407443717,-0.314198954905225,0.23301069130002872,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,f52f40a425bf87fc46f341efd1e49685
primary,lenient,primary,beta_M1_d_recall_l2,1.3472909333195462,0.2891838892720847,0.799736222868482,1.974341981202487,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,f52f40a425bf87fc46f341efd1e49685
primary,lenient,primary,beta_M1_d_recall_max,-0.6651053683176655,0.24592504989743585,-1.1568491754313508,-0.1976678196589735,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,f52f40a425bf87fc46f341efd1e49685
primary,lenient,primary,beta_M1_cpd_y,-0.28615266633875097,0.28739080764949787,-0.7569745272219163,0.32021557896090586,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,f52f40a425bf87fc46f341efd1e49685
primary,lenient,primary,beta_M2_d_recall_Camera,-0.26422917455610384,0.12690109824733828,-0.47461798340801176,0.061911995061134456,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,f52f40a425bf87fc46f341efd1e49685
primary,lenient,primary,beta_M2_d_recall_Light_T1,-0.3314552957536921,0.22523552869582414,-0.7562928681761083,0.00598863775994506,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,f52f40a425bf87fc46f341efd1e49685
primary,lenient,primary,beta_M2_d_recall_Light_XM,-0.1746396367373977,0.19083904248262923,-0.6733816096720278,0.17518349781748876,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,f52f40a425bf87fc46f341efd1e49685
primary,lenient,primary,beta_M2_d_recall_Sensor,-0.24574514759991103,0.1996171862614867,-0.6455958819382315,0.12677593802941983,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,f52f40a425bf87fc46f341efd1e49685
primary,lenient,primary,beta_M2_d_recall_Socket,-0.13124229423391004,0.18842073670599768,-0.5189417284228199,0.24411576385996966,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,f52f40a425bf87fc46f341efd1e49685
primary,lenient,primary,beta_M2_d_recall_l2,0.09680881831290253,0.2592713069570827,-0.49090285168321746,0.5848038448415864,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,f52f40a425bf87fc46f341efd1e49685
primary,lenient,primary,beta_M2_d_recall_max,0.5268743779837819,0.3854835014008636,-0.21604710037697938,1.236322229537462,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,f52f40a425bf87fc46f341efd1e49685
primary,lenient,primary,beta_M2_cpd_dir_lenient,-0.3502842264412031,0.10143376913303795,-0.555496380663127,-0.17536070331701062,10000,10000,42,0,M0=0;M1=0;M0_sub=0;M2=0,f52f40a425bf87fc46f341efd1e49685
sens_dv_a_arm,strict,parallel_reported,r2_M0,0.16688130211844882,0.061133938088477925,0.09249398430509548,0.317170931169273,10000,10000,42,10000,M0=0;M1=0;M0_sub=10000;M2=10000,1eb786ced8c90ad745c39db3f4c94955
sens_dv_a_arm,strict,parallel_reported,r2_M1,0.43592739029649036,0.04796122366858568,0.357482838070858,0.5391427633083359,10000,10000,42,10000,M0=0;M1=0;M0_sub=10000;M2=10000,1eb786ced8c90ad745c39db3f4c94955
sens_dv_a_arm,strict,parallel_reported,r2_M0_sub,0.7099646076753353,0.12883494904645784,0.48470452966610467,0.9253353886229851,10000,10000,42,10000,M0=0;M1=0;M0_sub=10000;M2=10000,1eb786ced8c90ad745c39db3f4c94955
sens_dv_a_arm,strict,parallel_reported,r2_M2,0.9030726033420883,0.03930903407175959,0.8433276895230132,0.9961058238112073,10000,10000,42,10000,M0=0;M1=0;M0_sub=10000;M2=10000,1eb786ced8c90ad745c39db3f4c94955
sens_dv_a_arm,strict,parallel_reported,dr2_M1_vs_M0,0.2690460881780416,0.06730787802015353,0.11948814082448833,0.3958929286085572,10000,10000,42,10000,M0=0;M1=0;M0_sub=10000;M2=10000,1eb786ced8c90ad745c39db3f4c94955
sens_dv_a_arm,strict,parallel_reported,dr2_M2_vs_M0sub,0.19310799566675288,0.13213038892757134,0.0011945160116538789,0.42649755774707043,10000,10000,42,10000,M0=0;M1=0;M0_sub=10000;M2=10000,1eb786ced8c90ad745c39db3f4c94955
sens_dv_a_arm,strict,parallel_reported,beta_M1_d_recall_Camera,0.03348815978021066,0.16562740241430474,-0.25185816583821397,0.4056384752149979,10000,10000,42,10000,M0=0;M1=0;M0_sub=10000;M2=10000,1eb786ced8c90ad745c39db3f4c94955
sens_dv_a_arm,strict,parallel_reported,beta_M1_d_recall_Light_T1,-0.10463145576245915,0.16947021368568158,-0.5016361738205024,0.18503246555549402,10000,10000,42,10000,M0=0;M1=0;M0_sub=10000;M2=10000,1eb786ced8c90ad745c39db3f4c94955
