,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,345,1,1,15,0
Light_T1,3,172,100,88,0
Light_XM,1,24,297,43,0
Sensor,0,64,18,281,0
Socket,0,0,0,0,363
