,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,371,8,0,19,0
Light_T1,4,270,73,49,0
Light_XM,1,112,235,46,0
Sensor,0,47,39,313,0
Socket,0,0,0,0,406
