task,task_type,feature_set,model,status,reason,n_test,n_mismatch,match_rate,n_features,load_warnings,max_abs_rowsum_dev,output
jitter_R2_R3_R4_to_R7,fixed_split,selected_features,lightgbm,ok,,1993,0,1.0,60,,4.440892098500626e-16,results/robust_v2/raw_all/jitter_R2_R3_R4_to_R7/selected_features/lightgbm/pred_proba_rescored_20260829.csv
jitter_R2_R3_R4_to_R7,fixed_split,selected_features,rf,ok,,1993,0,1.0,60,,2.220446049250313e-16,results/robust_v2/raw_all/jitter_R2_R3_R4_to_R7/selected_features/rf/pred_proba_rescored_20260829.csv
jitter_R2_R3_R4_to_R7,fixed_split,selected_features,stacking,ok,,1993,0,1.0,60,,4.440892098500626e-16,results/robust_v2/raw_all/jitter_R2_R3_R4_to_R7/selected_features/stacking/pred_proba_rescored_20260829.csv
jitter_R2_R3_R4_to_R7,fixed_split,selected_features,xgboost,ok,,1993,0,1.0,60,,8.87193891685456e-08,results/robust_v2/raw_all/jitter_R2_R3_R4_to_R7/selected_features/xgboost/pred_proba_rescored_20260829.csv
joint_R2_R3_R4,joint_validation,all_features,extra_trees,ok,,1652,0,1.0,94,,2.220446049250313e-16,results/robust_v2/raw_all/joint_R2_R3_R4/all_features/extra_trees/pred_proba_rescored_20260829.csv
joint_R2_R3_R4,joint_validation,all_features,lightgbm,ok,,1652,0,1.0,94,,4.440892098500626e-16,results/robust_v2/raw_all/joint_R2_R3_R4/all_features/lightgbm/pred_proba_rescored_20260829.csv
joint_R2_R3_R4,joint_validation,all_features,rf,ok,,1652,0,1.0,94,,2.220446049250313e-16,results/robust_v2/raw_all/joint_R2_R3_R4/all_features/rf/pred_proba_rescored_20260829.csv
joint_R2_R3_R4,joint_validation,all_features,stacking,ok,,1652,0,1.0,94,,4.440892098500626e-16,results/robust_v2/raw_all/joint_R2_R3_R4/all_features/stacking/pred_proba_rescored_20260829.csv
joint_R2_R3_R4,joint_validation,all_features,xgboost,ok,,1652,0,1.0,94,,8.77553247846663e-08,results/robust_v2/raw_all/joint_R2_R3_R4/all_features/xgboost/pred_proba_rescored_20260829.csv
joint_R2_R3_R4,joint_validation,selected_features,extra_trees,ok,,1652,0,1.0,60,,2.220446049250313e-16,results/robust_v2/raw_all/joint_R2_R3_R4/selected_features/extra_trees/pred_proba_rescored_20260829.csv
joint_R2_R3_R4,joint_validation,selected_features,lightgbm,ok,,1652,0,1.0,60,,4.440892098500626e-16,results/robust_v2/raw_all/joint_R2_R3_R4/selected_features/lightgbm/pred_proba_rescored_20260829.csv
joint_R2_R3_R4,joint_validation,selected_features,rf,ok,,1652,0,1.0,60,,2.220446049250313e-16,results/robust_v2/raw_all/joint_R2_R3_R4/selected_features/rf/pred_proba_rescored_20260829.csv
joint_R2_R3_R4,joint_validation,selected_features,stacking,ok,,1652,0,1.0,60,,4.440892098500626e-16,results/robust_v2/raw_all/joint_R2_R3_R4/selected_features/stacking/pred_proba_rescored_20260829.csv
joint_R2_R3_R4,joint_validation,selected_features,xgboost,ok,,1652,0,1.0,60,,8.641427484690212e-08,results/robust_v2/raw_all/joint_R2_R3_R4/selected_features/xgboost/pred_proba_rescored_20260829.csv
loro_R2_R3_to_R4,fixed_split,all_features,extra_trees,ok,,1853,0,1.0,94,,2.220446049250313e-16,results/robust_v2/raw_all/loro_R2_R3_to_R4/all_features/extra_trees/pred_proba_rescored_20260829.csv
loro_R2_R3_to_R4,fixed_split,all_features,lightgbm,ok,,1853,0,1.0,94,,4.440892098500626e-16,results/robust_v2/raw_all/loro_R2_R3_to_R4/all_features/lightgbm/pred_proba_rescored_20260829.csv
loro_R2_R3_to_R4,fixed_split,all_features,rf,ok,,1853,0,1.0,94,,2.220446049250313e-16,results/robust_v2/raw_all/loro_R2_R3_to_R4/all_features/rf/pred_proba_rescored_20260829.csv
loro_R2_R3_to_R4,fixed_split,all_features,stacking,ok,,1853,0,1.0,94,,4.440892098500626e-16,results/robust_v2/raw_all/loro_R2_R3_to_R4/all_features/stacking/pred_proba_rescored_20260829.csv
loro_R2_R3_to_R4,fixed_split,all_features,xgboost,ok,,1853,0,1.0,94,,8.539063856005669e-08,results/robust_v2/raw_all/loro_R2_R3_to_R4/all_features/xgboost/pred_proba_rescored_20260829.csv
loro_R2_R3_to_R4,fixed_split,selected_features,extra_trees,ok,,1853,0,1.0,40,,2.220446049250313e-16,results/robust_v2/raw_all/loro_R2_R3_to_R4/selected_features/extra_trees/pred_proba_rescored_20260829.csv
loro_R2_R3_to_R4,fixed_split,selected_features,lightgbm,ok,,1853,0,1.0,40,,4.440892098500626e-16,results/robust_v2/raw_all/loro_R2_R3_to_R4/selected_features/lightgbm/pred_proba_rescored_20260829.csv
loro_R2_R3_to_R4,fixed_split,selected_features,rf,ok,,1853,0,1.0,40,,2.220446049250313e-16,results/robust_v2/raw_all/loro_R2_R3_to_R4/selected_features/rf/pred_proba_rescored_20260829.csv
loro_R2_R3_to_R4,fixed_split,selected_features,stacking,ok,,1853,0,1.0,40,,4.440892098500626e-16,results/robust_v2/raw_all/loro_R2_R3_to_R4/selected_features/stacking/pred_proba_rescored_20260829.csv
loro_R2_R3_to_R4,fixed_split,selected_features,xgboost,ok,,1853,0,1.0,40,,8.681672625243664e-08,results/robust_v2/raw_all/loro_R2_R3_to_R4/selected_features/xgboost/pred_proba_rescored_20260829.csv
loro_R2_R4_to_R3,fixed_split,all_features,extra_trees,ok,,1837,0,1.0,94,,2.220446049250313e-16,results/robust_v2/raw_all/loro_R2_R4_to_R3/all_features/extra_trees/pred_proba_rescored_20260829.csv
loro_R2_R4_to_R3,fixed_split,all_features,lightgbm,ok,,1837,0,1.0,94,,4.440892098500626e-16,results/robust_v2/raw_all/loro_R2_R4_to_R3/all_features/lightgbm/pred_proba_rescored_20260829.csv
loro_R2_R4_to_R3,fixed_split,all_features,rf,ok,,1837,0,1.0,94,,2.220446049250313e-16,results/robust_v2/raw_all/loro_R2_R4_to_R3/all_features/rf/pred_proba_rescored_20260829.csv
loro_R2_R4_to_R3,fixed_split,all_features,stacking,ok,,1837,0,1.0,94,,4.440892098500626e-16,results/robust_v2/raw_all/loro_R2_R4_to_R3/all_features/stacking/pred_proba_rescored_20260829.csv
loro_R2_R4_to_R3,fixed_split,all_features,xgboost,ok,,1837,0,1.0,94,,8.849292498780414e-08,results/robust_v2/raw_all/loro_R2_R4_to_R3/all_features/xgboost/pred_proba_rescored_20260829.csv
loro_R2_R4_to_R3,fixed_split,selected_features,extra_trees,ok,,1837,0,1.0,20,,2.220446049250313e-16,results/robust_v2/raw_all/loro_R2_R4_to_R3/selected_features/extra_trees/pred_proba_rescored_20260829.csv
loro_R2_R4_to_R3,fixed_split,selected_features,lightgbm,ok,,1837,0,1.0,20,,4.440892098500626e-16,results/robust_v2/raw_all/loro_R2_R4_to_R3/selected_features/lightgbm/pred_proba_rescored_20260829.csv
loro_R2_R4_to_R3,fixed_split,selected_features,rf,ok,,1837,0,1.0,20,,2.220446049250313e-16,results/robust_v2/raw_all/loro_R2_R4_to_R3/selected_features/rf/pred_proba_rescored_20260829.csv
loro_R2_R4_to_R3,fixed_split,selected_features,stacking,ok,,1837,0,1.0,20,,4.440892098500626e-16,results/robust_v2/raw_all/loro_R2_R4_to_R3/selected_features/stacking/pred_proba_rescored_20260829.csv
loro_R2_R4_to_R3,fixed_split,selected_features,xgboost,ok,,1837,0,1.0,20,,8.708957466296852e-08,results/robust_v2/raw_all/loro_R2_R4_to_R3/selected_features/xgboost/pred_proba_rescored_20260829.csv
loro_R3_R4_to_R2,fixed_split,all_features,extra_trees,ok,,1816,0,1.0,94,,2.220446049250313e-16,results/robust_v2/raw_all/loro_R3_R4_to_R2/all_features/extra_trees/pred_proba_rescored_20260829.csv
loro_R3_R4_to_R2,fixed_split,all_features,lightgbm,ok,,1816,0,1.0,94,,4.440892098500626e-16,results/robust_v2/raw_all/loro_R3_R4_to_R2/all_features/lightgbm/pred_proba_rescored_20260829.csv
loro_R3_R4_to_R2,fixed_split,all_features,rf,ok,,1816,0,1.0,94,,2.220446049250313e-16,results/robust_v2/raw_all/loro_R3_R4_to_R2/all_features/rf/pred_proba_rescored_20260829.csv
loro_R3_R4_to_R2,fixed_split,all_features,stacking,ok,,1816,0,1.0,94,,4.440892098500626e-16,results/robust_v2/raw_all/loro_R3_R4_to_R2/all_features/stacking/pred_proba_rescored_20260829.csv
