,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,232,0,90,40,0
Light_T1,1,120,174,68,0
Light_XM,3,35,282,45,0
Sensor,0,55,32,276,0
Socket,0,0,0,0,363
