,precision,recall,f1-score,support
Camera,1.0,1.0,1.0,109.0
Light_T1,0.8058252427184466,0.7614678899082569,0.7830188679245284,109.0
Light_XM,0.7857142857142857,0.8073394495412844,0.7963800904977375,109.0
Sensor,0.9732142857142857,1.0,0.9864253393665159,109.0
Socket,1.0,1.0,1.0,109.0
accuracy,0.9137614678899083,0.9137614678899083,0.9137614678899083,0.9137614678899083
macro avg,0.9129507628294036,0.9137614678899084,0.9131648595577563,545.0
weighted avg,0.9129507628294036,0.9137614678899083,0.9131648595577563,545.0
