,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,109,0,0,0,0
Light_T1,0,83,24,2,0
Light_XM,0,20,88,1,0
Sensor,0,0,0,109,0
Socket,0,0,0,0,109
