day,packet_count,byte_count,len_mean,len_std,len_min,len_max,len_range,len_cv,len_p10,len_p25,len_p50,len_p75,len_p90,len_p95,len_iqr,interarrival_mean,interarrival_std,interarrival_min,interarrival_max,interarrival_cv,interarrival_p10,interarrival_p25,interarrival_p50,interarrival_p75,interarrival_p90,interarrival_p95,interarrival_iqr,burst_packet_ratio,long_gap_ratio,burst_count,burst_size_mean,burst_size_std,burst_size_max,burst_size_min,burst_packet_fraction,up_packet_ratio,down_packet_ratio,side_packet_ratio,other_packet_ratio,up_down_ratio,up_len_mean,up_len_std,up_len_p50,down_len_mean,down_len_std,down_len_p50,up_ia_mean,up_ia_std,down_ia_mean,down_ia_std,len_up_down_diff,subwin_packet_mean,subwin_packet_std,subwin_packet_min,subwin_packet_max,subwin_packet_cv,subwin_byte_mean,subwin_byte_std,subwin_byte_min,subwin_byte_max,active_subwin_count
16-09-23,0.5189516206423173,0.5193271963044486,0.5021601156425546,0.4982362692144125,0.49996146258335045,0.5099643213222526,0.5096074840370242,0.5202593674206801,0.5041968408409743,0.5026294336969555,0.492458788197752,0.49046994435055613,0.5007349383350825,0.5100937221891677,0.491242056392918,0.49130817104350033,0.49934865199854134,0.5029381875999422,0.5197422185228098,0.5141471210074883,0.5068742063969082,0.5126702237594538,0.4990554039761725,0.4486005816473003,0.49143807698795994,0.4959122559086497,0.45086332904690857,0.512428089584594,0.49941158466059293,0.5048029844021953,0.5178935336942281,0.4989527722191188,0.5134415276777443,0.5278794218276331,0.512428089584594,0.3884588265836454,0.6115411734163546,0.5,0.5,0.38838048905648487,0.4068535487253358,0.47429872508326204,0.3717356080679067,0.6249574977246256,0.5320196939836173,0.6046349451031217,0.4939096739522419,0.5131778771994865,0.5077321816218444,0.5104738940569545,0.49942486820001475,0.5189516206423173,0.5168031217832874,0.5007541817895301,0.5175796785080413,0.49480608557831884,0.5193271963044486,0.5158507475652737,0.5007546363593203,0.5159030230911352,0.5147448802814696
16-09-24,0.513452227050116,0.5135665138867275,0.4935341508207458,0.4907134053899897,0.5013804607287682,0.5050175979682696,0.5034790596553237,0.5148780818490157,0.5031431635778825,0.5022709059985007,0.49785570638033194,0.4890762627392746,0.49489096254167514,0.5048625767177322,0.4872807418814008,0.48243925887616906,0.48914169834147303,0.5020885781605221,0.5035541652967445,0.5107997302810614,0.5021316674544659,0.5076646334198359,0.4937516014436717,0.46274524697530695,0.4867033453425534,0.49337912957020835,0.4616547371117166,0.511686918801833,0.49638039910105713,0.4991995412092479,0.5108761386220665,0.5074654706949211,0.5118447959706901,0.5274146614028251,0.511686918801833,0.3836140634236328,0.6163859365763672,0.5,0.5,0.3831652834168247,0.4095606324987271,0.4693514870866897,0.375913505557567,0.6123203113812754,0.5263429404755475,0.6018754665292887,0.48538756865853105,0.5052382051324961,0.5047332086282403,0.5061485917266351,0.4905280212183708,0.513452227050116,0.5163172141629098,0.4984170696935259,0.5149409621558756,0.5006330618941632,0.5135665138867275,0.5132059667248439,0.4984155164747907,0.5138220434205805,0.5031871547407692
16-09-25,0.5114887622556825,0.5113170234554533,0.49173032353532037,0.49019756086805266,0.5036905467712616,0.5033748511678728,0.5029852172336579,0.5159795971365434,0.5039184865426358,0.49977308919148017,0.49433663744738815,0.4869832279054726,0.4930297566257858,0.503211638059866,0.48915497650534817,0.49365654199883385,0.49584759590178795,0.5069228130864476,0.5129131408356158,0.5061002797798999,0.5108433575547923,0.5140237837414069,0.5046539009941741,0.4734395288330091,0.4961912694951712,0.5009198927918702,0.4685283381269936,0.505693006482466,0.5063808926497754,0.49828065206846034,0.5100496842064002,0.502611164736953,0.5099034734846072,0.526742597592227,0.505693006482466,0.3828622806716678,0.6171377193283323,0.5,0.5,0.382208056289168,0.4037038742901381,0.46955837894252017,0.37031643057685615,0.6126094987970935,0.5259458373552715,0.5983575792913876,0.4941816070439857,0.5062843661343825,0.5029139738055456,0.5055196017423771,0.4944488923949845,0.5114887622556825,0.5110369005678895,0.49998133167392655,0.511914115900416,0.49522575935008745,0.5113170234554533,0.5119553724110559,0.4999818216562382,0.5129305842059102,0.5088827423330018
16-09-26,0.5191732693596974,0.5205399284444773,0.5129119745077986,0.5107426058209056,0.5083015261986179,0.517134157700899,0.5164325399224728,0.5310042651578819,0.5100315506728631,0.4926918502608286,0.483597051829714,0.5039346366714003,0.5113127402463719,0.5177010396995483,0.5068878935396459,0.48284867375098545,0.4899526137408315,0.49808469383413456,0.5044117836809857,0.5146848137153879,0.5002295893421919,0.5167874809932975,0.5061620691747463,0.48206686499005663,0.48608019972673217,0.4906829168574135,0.47793255063948575,0.5144075043403903,0.49139071957863906,0.502508047623633,0.5152000301142732,0.514796622552029,0.5171326647836715,0.5244297242805819,0.5144075043403903,0.4084953175184346,0.5915046824815654,0.5,0.5,0.4084150198989871,0.43026924868833893,0.4913749906292785,0.38699869572352796,0.609721471764723,0.5358324661083796,0.5730102105941032,0.4913103153222467,0.5144203540922407,0.5102775621045569,0.5130701170969627,0.5138617897752872,0.5191732693596974,0.5170606848459197,0.4997848599638309,0.5182323049586286,0.5042980020608656,0.5205399284444773,0.518548323544595,0.49978352700202067,0.5190953177530359,0.5029883404230906
16-09-27,0.5995721753676067,0.599126401376086,0.5971770725589819,0.5975205494114125,0.5065320985689767,0.6005100767417982,0.5977604267306214,0.5986043189283806,0.5112693204249499,0.467061031609816,0.4448366821438449,0.5783339158587087,0.5995053980684785,0.6002075661047902,0.5870632717277229,0.45662885461303265,0.48611138737653303,0.4581433613892709,0.47606004226387355,0.5810270301246131,0.475625930619807,0.529395745954527,0.5234755358286257,0.5110381454665318,0.45742668941830816,0.463319371668239,0.5286289318094849,0.5490693565131073,0.455104165482672,0.5371120759878304,0.5947996704706048,0.5971761253632496,0.5989583925330666,0.5304972161917427,0.5490693565131073,0.48583895020402595,0.514161049795974,0.5,0.5,0.4864073860428814,0.5359813610823795,0.5812036821286898,0.445099232960896,0.5937573999666587,0.5999335305394848,0.4647467956368376,0.4700296614343574,0.5328801830550473,0.5728784828387077,0.5831707708657747,0.5969939677839787,0.5995721753676067,0.5984237597419081,0.5007146591800316,0.5996908708328124,0.5300708597127345,0.599126401376086,0.6020208539348405,0.5007147775794981,0.6014662708335702,0.4883170510386948
16-09-28,0.5800659095534146,0.5874609887905381,0.5842535903458858,0.5855207217553585,0.5043872393972331,0.5839023251338147,0.5841504719206057,0.5913099195087335,0.5124615540751234,0.4782374374045918,0.46136908245635344,0.5744664896668608,0.5834143925136339,0.5853489278260416,0.5764077558096795,0.4631163639633443,0.4837010312368374,0.4852937139828269,0.49331654832499605,0.5705285857841706,0.5030981276196996,0.5475451136537524,0.5392507849568043,0.48097562335114374,0.4632123834659254,0.4670972820591293,0.49252078538273975,0.5330556339942694,0.4530382600382711,0.5501745546214776,0.5724745319575095,0.5720929254239766,0.5750219409296013,0.5224614646812821,0.5330556339942694,0.45364419252909377,0.5463558074709063,0.5,0.5,0.45388918423912955,0.5117613899585476,0.5677644756236141,0.4519497059731387,0.6253616112345973,0.5962239515548481,0.5098473100604355,0.47443299326864374,0.5295401423044785,0.5632507702331129,0.5704390341889376,0.5907989022436276,0.5800659095534146,0.5807607100395068,0.5024841496831515,0.5804989964226688,0.5155166148971155,0.5874609887905381,0.5860763307719369,0.5024829928216745,0.5859516526554966,0.5107778999493611
16-09-29,0.529062052062714,0.5314076957510743,0.5077898923125033,0.5137290049859438,0.49539502612025,0.5219382618406244,0.5238446988035957,0.5358450031826862,0.4976081240247567,0.4932973601165768,0.4929671861879356,0.5049247306622051,0.5115922002758857,0.5218759077798819,0.5113287952937516,0.5036301274185637,0.5052117974478191,0.4958782328869107,0.5120813596975099,0.515332699838564,0.5068644528875139,0.5146618356241796,0.5103608439912314,0.5166260629457546,0.5060975029009271,0.5065402316138362,0.5168380766733707,0.5085173067490408,0.503336562317948,0.5147663543242467,0.525108298635969,0.516746306576017,0.5290789179184439,0.5294163342439573,0.5085173067490408,0.389418173614341,0.610581826385659,0.5,0.5,0.389048960190231,0.4170795163586895,0.4929739325302276,0.3851496735564018,0.6267626307401452,0.5472819383749411,0.6004206443629945,0.507664588925522,0.5028348527154425,0.5208360781686776,0.5274061722682473,0.5081368328859582,0.529062052062714,0.5236910210946218,0.5009320369509073,0.5258042632121162,0.48511776732579753,0.5314076957510743,0.525491203166495,0.5009319377399912,0.5277268715544049,0.5200887719434704
16-09-30,0.5257934785304988,0.5288029935912772,0.5090624032270067,0.50770187996668,0.5020287320267296,0.517419938977501,0.5168225970490589,0.5277109841298292,0.5030859832296154,0.4986951899771386,0.4907253963541737,0.5026467288627778,0.507542242036708,0.5176186361879582,0.5043613362534938,0.4884401533804432,0.49109218350280026,0.5015931285273381,0.49174388834787147,0.5068511278279719,0.5045395786038763,0.5146226243355422,0.5033809533145075,0.5097315122073005,0.4864727859339379,0.4873056838304781,0.5141064016810394,0.5120899225656016,0.494349057336023,0.5147617073816739,0.5163238285416615,0.5107958150856644,0.5173222157584643,0.5175900794028662,0.5120899225656016,0.38648282832000885,0.6135171716799912,0.5,0.5,0.3863945073349428,0.41921340510505295,0.48617801589657705,0.3852978467683922,0.6274226256158463,0.543182810235712,0.5943055069884604,0.4979120539040076,0.5044998691689145,0.5116933283348124,0.517109365185168,0.5078222585686359,0.5257934785304988,0.5219173575641572,0.5013836787620739,0.5251252197522132,0.49588347191292653,0.5288029935912772,0.5246477062950157,0.5013831786432457,0.5264272791215193,0.5122944211544663
16-10-01,0.5153054530267489,0.5153248055101088,0.49603037960024443,0.4945084633491685,0.4934394568081318,0.5075872001340404,0.5087755042117574,0.520315641570243,0.5019874538415039,0.502531530688008,0.493937744755015,0.48816608475751183,0.49677142058110424,0.5076594767827692,0.48792523103887825,0.49921060347716384,0.49926337364399154,0.5004956186388336,0.5084239255419106,0.5100333129644596,0.4964556722385392,0.4989165689289258,0.48281068281721234,0.49100181389748543,0.4960135424263928,0.5006115795404519,0.488655338123304,0.5116659541667488,0.503190387780647,0.4991732844973159,0.5119721032669046,0.5015419873942955,0.5120095762452938,0.5193354408547042,0.5116659541667488,0.37639327613622175,0.6236067238637782,0.5,0.5,0.37532416692949083,0.40217237528992794,0.4733843294369649,0.36928978542048585,0.6184539326710164,0.5323519622288805,0.602614618034338,0.5014865992522652,0.5032129742333747,0.5015264335416215,0.5110621258862103,0.4920115310001117,0.5153054530267489,0.5135479703402916,0.49983219292280195,0.5141516959551359,0.49631317225496574,0.5153248055101088,0.5149399118224885,0.4998319362585664,0.5148743597767309,0.5061816041145125
16-10-02,0.5173472464377527,0.516608554938011,0.4940431181153459,0.49403901519776117,0.4883874125593412,0.5066936882601001,0.5103215545222857,0.5209635247300031,0.5018178697141807,0.4991716542065495,0.49514170202106395,0.4865549054094529,0.4955930229553803,0.5064663090031429,0.49085204624143364,0.4944361110861609,0.4973248977347792,0.5003600032956408,0.5100303028186046,0.5105803155542825,0.504943073127409,0.5101450736213116,0.49990657545769984,0.48146689949060617,0.4920994995216774,0.497336153035721,0.4804952842506847,0.5101288837303017,0.501117490593507,0.5025288942426419,0.5155527744427711,0.5023017367650136,0.5161385490952346,0.5273887491124668,0.5101288837303017,0.3865404675751413,0.6134595324248586,0.5,0.5,0.386185010755743,0.399123062355587,0.47164972660707677,0.3698010628330779,0.6189526737327778,0.5291348177689155,0.6025625714337357,0.49629506542102086,0.5004975064795604,0.5064968591056993,0.5091467339722574,0.4946862227243306,0.5173472464377527,0.5192183986357023,0.49949717081654604,0.5187869269513227,0.4970186759263972,0.516608554938011,0.5167035873804456,0.49949722626137827,0.5167899704290532,0.5110507649557168
