family,max_strength,n_cols
down,0.11677792970003187,6
up,0.11231386173262353,7
len,0.03368972677228732,14
singletons,0.03098355995572666,6
subwin,0.03098355995572666,9
burst,0.0281780122731089,7
interarrival,0.022033914992147463,12
