,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,261,0,83,19,0
Light_T1,4,2,283,76,0
Light_XM,1,299,58,5,0
Sensor,6,189,8,159,0
Socket,0,0,1,0,362
