target_env,n_tasks,mean_f1_route_b,mean_f1_rf,mean_f1_stacking,mean_f1_soft_equal,mean_f1_soft_calibrated,mean_f1_hard_voting,mean_gain_vs_stacking,mean_gain_vs_rf,n_win_vs_stacking,n_loss_vs_stacking,n_win_vs_rf,n_loss_vs_rf,mean_regret_route_b,mean_regret_always_rf,mean_regret_always_stacking,mean_macro_f1_4class_route_b,mean_worst_class_f1_route_b
R2,25,0.7222095784582292,0.7702228553555117,0.6973696720542102,0.7088367435584517,0.728748623919198,0.7158104972693977,0.02483990640401907,-0.04801327689728238,15,10,10,15,0.059383842153699504,0.011370565256417131,0.08422374855771858,0.6527619730727866,0.3991304099110117
R3,25,0.6248517956605074,0.6795561046405861,0.6320101724487462,0.6126985770719897,0.628075786706763,0.6160072064101766,-0.007158376788238852,-0.05470430898007874,9,16,2,23,0.06604608702789685,0.011341778047818113,0.058887710239658005,0.5314234164129189,0.22262439606012074
R4,25,0.6811662904488816,0.7264545182212971,0.6670846538528861,0.6724019559018799,0.688560029251239,0.6785020502195279,0.014081636595995501,-0.045288227772415646,16,9,7,18,0.06503532450176448,0.019747096729348834,0.07911696109775998,0.6014578630611019,0.35330907685511576
R5,25,0.6170068161440985,0.6440570836188675,0.5943609245849732,0.6086364289784694,0.6209099569367991,0.6126880209466282,0.022645891559125168,-0.02705026747476908,12,13,10,15,0.04691649145178662,0.01986622397701754,0.06956238301091178,0.521258520180123,0.16291307511380299
R6,25,0.6362088351342292,0.6239060395366028,0.56491349510942,0.6448220016512646,0.6465244214272289,0.645785142046408,0.07129534002480924,0.012302795597626428,17,7,16,7,0.019520109302835424,0.03182290490046185,0.09081544932764465,0.5452737181890159,0.356539579658136
R7,25,0.6868287396011469,0.6779507381983695,0.6124038897689783,0.6881898708446,0.6891804798464275,0.688485942439705,0.07442484983216856,0.008878001402777542,17,7,19,4,0.018626067296343647,0.027504068699121188,0.09305091712851223,0.6085359245014337,0.4007382137747683
