task,fold_e_out,target_env,n_sources,lb_basis,f1_rf,f1_stacking,f1_soft_equal,f1_route_b,f1_soft_calibrated,f1_hard_voting,macro_f1_4class_route_b,worst_class_f1_route_b,accuracy_route_b,gain_vs_stacking,gain_vs_rf,gain_vs_soft_equal,regret_route_b_vs_oracle3,regret_always_rf,regret_always_stacking,regret_always_soft_equal
g0_R3_R4_to_R6,R6,R6,2,per_round_min,0.7022496232552669,0.5280377016717832,0.6583850850742734,0.699297328793603,0.6688285313931159,0.6689127577156858,0.6241216609920037,0.5087440381558028,0.6966800804828974,0.17125962712181975,-0.0029522944616638958,0.040912243719329555,0.0029522944616638958,0.0,0.17421192158348364,0.04386453818099345
g0_R3_R4_to_R7,R7,R7,2,per_round_min,0.7800326479531493,0.5621753693540898,0.7016843582108674,0.7674428766698724,0.7204271546058973,0.7034976499206582,0.7093035958373406,0.5526315789473685,0.7711991971901656,0.20526750731578258,-0.012589771283276874,0.06575851845900504,0.012589771283276874,0.0,0.21785727859905946,0.07834828974228192
g0_R3_R5_R6_to_R2,R2,R2,3,per_round_min,0.7681483686449703,0.8102087815139065,0.6694217894992157,0.6707995417827849,0.699558100108465,0.6680192771613935,0.5884994272284811,0.28794992175273865,0.6806167400881057,-0.13940923973112163,-0.09734882686218538,0.001377752283569178,0.13940923973112163,0.04206041286893625,0.0,0.1407869920146908
g0_R3_R5_R6_to_R4,R4,R4,3,per_round_min,0.7776659133154694,0.7867886438481175,0.6524609638932466,0.653285074566967,0.6806285502639768,0.6514481897250701,0.5666063432087088,0.31620553359683795,0.6605504587155964,-0.13350356928115048,-0.12438083874850236,0.0008241106737204573,0.13350356928115048,0.009122730532648116,0.0,0.13432767995487094
g0_R3_R5_R6_to_R7,R7,R7,3,per_round_min,0.8283200736309656,0.7295419350342145,0.86227093276951,0.8616380496097313,0.8596246386910966,0.8564806072650484,0.8270475620121642,0.717948717948718,0.8635223281485198,0.13209611457551684,0.033317975978765735,-0.0006328831597786078,0.0006328831597786078,0.03395085913854434,0.13272899773529545,0.0
g0_R3_R5_R7_to_R2,R2,R2,3,per_round_min,0.7818510620403802,0.8099300118052731,0.6879170249053157,0.6818980888422621,0.7219362902279619,0.6910084497643183,0.6023726110528277,0.28330995792426367,0.691079295154185,-0.12803192296301102,-0.09995297319811813,-0.006018936063053593,0.12803192296301102,0.02807894976489289,0.0,0.12201298689995743
g0_R3_R5_R7_to_R4,R4,R4,3,per_round_min,0.7992514455177929,0.8144597146400079,0.6864309876560319,0.6865742850178186,0.71971851207001,0.6987860498834747,0.6082178562722732,0.4508670520231214,0.6848354020507286,-0.1278854296221893,-0.11267716049997434,0.00014329736178664287,0.1278854296221893,0.015208269122214957,0.0,0.12802872698397594
g0_R3_R5_R7_to_R6,R6,R6,3,per_round_min,0.7733532505292734,0.7002516145861424,0.8081317754385188,0.8117834704562095,0.8062937957842667,0.8056794034311887,0.7647293380702618,0.6614583333333334,0.8093561368209256,0.11153185587006709,0.03843021992693607,0.0036516950176906926,-0.0036516950176906926,0.03477852490924538,0.1078801608523764,0.0
g0_R3_R5_to_R2,R2,R2,2,per_round_min,0.6207367074722319,0.7080770325881451,0.5623942124600418,0.5627602126206217,0.5705412048269192,0.5654628299365612,0.453450265775777,0.0443213296398892,0.5814977973568282,-0.14531681996752344,-0.05797649485161016,0.0003660001605798602,0.14531681996752344,0.08734032511591328,0.0,0.1456828201281033
g0_R3_R5_to_R4,R4,R4,2,per_round_min,0.5201454527612681,0.667164734194938,0.5063166814471878,0.5070280232100602,0.5093503182547887,0.5013082763664019,0.3837850290125753,0.042352941176470586,0.5380464112250405,-0.1601367109848778,-0.013117429551207871,0.0007113417628724639,0.1601367109848778,0.14701928143366993,0.0,0.16084805274775027
g0_R3_R5_to_R6,R6,R6,2,per_round_min,0.31761512989288637,0.4143483907396951,0.3067198044173546,0.30208622550356956,0.29925584579862435,0.3058013214560461,0.12760778187946198,0.0,0.4084507042253521,-0.11226216523612553,-0.015528904389316811,-0.004633578913785019,0.11226216523612553,0.09673326084680872,0.0,0.10762858632234051
