,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,349,27,0,14,0
Light_T1,1,274,22,68,0
Light_XM,0,311,11,46,0
Sensor,3,34,1,324,0
Socket,0,0,0,0,368
