removed_env,n_tasks_removed,n,pearson_r,pearson_p,delta_r_vs_full,still_sig_at_0.05
R2,3,8,-0.620120723615921,0.10096925873341438,0.009424919488509098,False
R3,3,8,-0.30847818162766527,0.4572489232294616,0.3210674614767648,False
R4,3,8,-0.9433134797736015,0.00043624453903571626,-0.3137678366691714,True
R5,1,10,-0.6018658759709565,0.06562363974072428,0.027679767133473532,False
R6,2,9,-0.640754704098134,0.06297136505978349,-0.01120906099370389,False
R7,2,9,-0.6218961762968704,0.07374966334751507,0.007649466807559624,False
