,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,290,3,43,27,0
Light_T1,4,22,194,145,0
Light_XM,1,41,309,12,0
Sensor,2,132,14,214,0
Socket,0,0,0,0,363
