,precision,recall,f1-score,support
Camera,0.4251781472684085,0.9862258953168044,0.5941908713692946,363.0
Light_T1,0.3389830508474576,0.0547945205479452,0.09433962264150944,365.0
Light_XM,0.9602272727272727,0.465564738292011,0.62708719851577,363.0
Sensor,0.7526595744680851,0.7817679558011049,0.7669376693766937,362.0
Socket,1.0,1.0,1.0,363.0
accuracy,0.6569383259911894,0.6569383259911894,0.6569383259911894,0.6569383259911894
macro avg,0.6954096090622448,0.6576706219915731,0.6165110723806535,1816.0
weighted avg,0.6949855434885469,0.6569383259911894,0.6158531596623307,1816.0
