,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,146,0,131,85,0
Light_T1,0,5,207,151,0
Light_XM,0,3,316,46,0
Sensor,0,1,40,322,0
Socket,0,0,0,0,363
