model,Display,Params,IID,OOD,OOD_Drop,CPD,delta_iid_vs_v3,delta_ood_vs_v3,relation_vs_v3
cnn1d_v3,CNN-v3,1012154.0,0.9310126140102172,0.5858679978829388,0.3451446161272784,0.8496870086494035,0.0,0.0,same_direction_or_tie
cnn1d_v5,CNN-v5,1225296.0,0.9199211188133631,0.5876806444676183,0.3322404743457449,0.8361809165994485,-0.01109149519685404,0.0018126465846795004,IID_lower_OOD_higher
cnn1d_inception,CNN-Inception,763092.0,0.9185752953527073,0.6062116353563697,0.31236365999633764,0.7671766926646508,-0.012437318657509855,0.02034363747343093,IID_lower_OOD_higher
cnn1d_tcn,CNN-TCN,814854.0,0.9314259650496548,0.5927066115140358,0.338719353535619,0.8417410883758629,0.0004133510394376261,0.006838613631097057,same_direction_or_tie
cnn1d_convnext,CNN-ConvNeXt,1079570.0,0.9268180665308989,0.5801457115104526,0.34667235502044635,0.8473410204996468,-0.004194547479318245,-0.005722286372486174,same_direction_or_tie
