k,evid_nominal,macro,n_err,n_dec,span_med,span_p90
1,10,0.7942583703928573,112222,762845,10.0,10.0
3,30,0.9432251652219522,27596,762845,33.86697292327881,75.24238662719726
6,60,0.9844144196748272,7914,762845,72.21900987625122,180.09010372161865
10,100,0.9928125380139321,3719,762845,129.99533796310425,307.9869243144989
30,300,0.9976032264914723,1531,762845,404.02092814445496,982.4347113609314
