day,n,base,smooth,fixed
16-09-24,48365,0.8633298226574248,0.9238172212134932,0.9249056737456799
16-09-25,47454,0.8936776132783255,0.9586331644551999,0.9607213720669557
16-09-26,46735,0.8805785172450371,0.9346405884606035,0.9363407873727129
16-09-27,46718,0.8424834884843191,0.8621954329651459,0.8652001341468927
16-09-28,47553,0.8589054736742412,0.8880957381419728,0.8953710558254538
16-09-29,47359,0.8515624428959112,0.8986283130956375,0.9123807704655391
16-10-01,47010,0.8609090731560514,0.9132751474593872,0.9259160791834089
16-10-02,45518,0.85893195596804,0.9153583482478294,0.9275814757207621
16-10-03,46891,0.8621137830361372,0.9179339740316304,0.9295495864862537
16-10-04,46733,0.8700954150608439,0.921509193520437,0.9337296552845971
16-10-05,49006,0.8650075054596617,0.9199586716070105,0.9289768911705663
16-10-06,48434,0.8575216030710454,0.922946671295733,0.9316431490721435
16-10-07,49522,0.8592220646596969,0.9196016497358872,0.927675054841842
16-10-08,48579,0.8625244015344892,0.9265609832193752,0.9354579033237757
16-10-09,48508,0.8566058827715954,0.9155517369711061,0.9261709389531564
16-10-10,48460,0.8557123811444415,0.9178447628778699,0.9272689199550704
