day,n,base,smooth,fixed
16-09-24,48365,0.8628206073708693,0.9220767575822088,0.9235593668814872
16-09-25,47454,0.8938563547049023,0.9587813077490936,0.9612208830662132
16-09-26,46735,0.8807013832550797,0.9344439245218072,0.9368316527949752
16-09-27,46718,0.8420608277573057,0.8622328910269497,0.865258590710156
16-09-28,47553,0.8583151696073553,0.8873530791860478,0.8959701301879038
16-09-29,47359,0.849119342172078,0.8984363141512863,0.9117539002150805
16-10-01,47010,0.8586413420879297,0.9127829352455811,0.9263371859581385
16-10-02,45518,0.8565806709274753,0.9148199201816191,0.927228901008814
16-10-03,46891,0.8592147296280113,0.9173506439238853,0.9298102550197471
16-10-04,46733,0.8679296076381446,0.921633413308769,0.9338743870872397
16-10-05,49006,0.8632208709515921,0.9209098779640291,0.9295545673341223
16-10-06,48434,0.8547647700667739,0.9231966800221724,0.9320580076225496
16-10-07,49522,0.857804098545493,0.9193281965273996,0.9276491753047958
16-10-08,48579,0.8589711184071606,0.9267772109639818,0.935551907641805
16-10-09,48508,0.8543483734819736,0.9158683591176148,0.9268492118829561
16-10-10,48460,0.8538233964003131,0.9180882520547481,0.9275506534400773
