feature,mutual_info,correlation_kept,correlation_dropped,model_importance,shap_importance,mi_norm,model_norm,shap_norm,joint_score,selected,filter_mode,task,rank
rssi_min,1.0085843444039946,True,False,0.08415607739845363,0.036453787080782944,0.917505009993677,0.9965234285162418,0.9364022084665986,0.9501435489921723,True,raw_all,single_round_R2,1.0
rssi_max,0.8659117505772127,True,False,0.08444967272245323,0.037774404769042584,0.7877163410031622,1.0,0.9703254142253298,0.9193472517428307,True,raw_all,single_round_R2,2.0
rssi_std,0.7675140199478319,True,False,0.07427759555848504,0.03419594307744829,0.6982043320914884,0.8795486490824059,0.8784041160760774,0.8187190324166572,True,raw_all,single_round_R2,3.0
rssi_p10,0.8990814501891413,True,False,0.06921409373082353,0.029391862359932713,0.8178906796618829,0.8195898397178879,0.7549998787175711,0.7974934660324472,True,raw_all,single_round_R2,4.0
up_len_p50,0.5088775838728807,True,False,0.07277666988109652,0.03892962527339367,0.46292383504400986,0.8617756296140965,1.0,0.7748998215527022,True,raw_all,single_round_R2,5.0
rssi_p90,0.6830412660220508,True,False,0.04990818637466449,0.019864435001680537,0.6213598169402375,0.5909814066265179,0.5102652507486842,0.5742021581051465,True,raw_all,single_round_R2,6.0
rssi_p50,0.7750629486756275,True,False,0.03538361260341093,0.013090028417436372,0.7050715613581994,0.4189905237371422,0.336248508058019,0.4867701977177868,True,raw_all,single_round_R2,7.0
len_range,1.0992684872761025,True,False,0.020660587822504222,0.00748157469627087,1.0,0.244649708595153,0.192182037297547,0.4789439152975667,True,raw_all,single_round_R2,8.0
rssi_mean,0.5609651829003959,True,False,0.030491400791099965,0.013809171189424051,0.5103077086203224,0.3610600231845896,0.3547214002818025,0.40869637736223813,True,raw_all,single_round_R2,9.0
up_ia_std,0.5349994823904585,True,False,0.028373136506868492,0.01391366285838076,0.4866868181731867,0.3359768675494787,0.35740551728069186,0.39335640100111907,True,raw_all,single_round_R2,10.0
len_p95,0.7587431834563241,True,False,0.016836119799730525,0.006285242385355894,0.6902255383818268,0.19936275958182828,0.1614513970071919,0.3503465649902823,True,raw_all,single_round_R2,11.0
up_packet_ratio,0.5083041959972201,True,False,0.023045925814212342,0.011890773681544465,0.462402226463124,0.2728953833835872,0.3054427983325896,0.34691346939310025,True,raw_all,single_round_R2,12.0
len_p10,0.6376719855728765,True,False,0.02047614739751116,0.006464167944172901,0.5800875700102853,0.24246568088909862,0.16604752547132315,0.32953359212356903,True,raw_all,single_round_R2,13.0
len_p25,0.5249952807600557,True,False,0.01779449382523277,0.005477719201810855,0.4775860372937199,0.21071122304659473,0.14070824374347587,0.2763351680279302,True,raw_all,single_round_R2,14.0
len_min,0.3057992761310677,True,False,0.021968890177875195,0.011222022694739875,0.2781843377397394,0.26014180362873296,0.28826433894316295,0.27553016010387843,True,raw_all,single_round_R2,15.0
subtype_8_ratio,0.47170700690023715,True,False,0.01814085982663044,0.00623976795627995,0.4291099147844114,0.21481267175837382,0.16028327815794569,0.2680686215669103,True,raw_all,single_round_R2,16.0
len_up_down_diff,0.5910346709026053,True,False,0.01321364847335574,0.0038736139434387275,0.5376617975897234,0.15646772861728964,0.09950298561147818,0.26454417060616375,True,raw_all,single_round_R2,17.0
len_p75,0.6223780585417098,True,False,0.009524066659580022,0.0032762611866739275,0.5661747477942461,0.1127780173983764,0.08415855954598869,0.2543704415795371,True,raw_all,single_round_R2,18.0
len_cv,0.36834959435154513,True,False,0.017614258860744036,0.007480015823127196,0.3350861037272935,0.20857699376330216,0.1921419939338432,0.24526836380814632,True,raw_all,single_round_R2,19.0
len_p50,0.5832600495385403,True,False,0.009836106911067326,0.003449917621790722,0.5305892566645033,0.11647300213221705,0.0886193380378762,0.24522719894486547,True,raw_all,single_round_R2,20.0
down_ia_std,0.48607207515205264,True,False,0.012525174860501722,0.005026416956016309,0.44217775800750875,0.14831525637365278,0.1291154723611377,0.23986949558076642,True,raw_all,single_round_R2,21.0
down_len_std,0.49692147427884503,True,False,0.01247744638050916,0.004197570442673751,0.4520474115565487,0.14775008568140602,0.10782457866458241,0.2358740253008457,True,raw_all,single_round_R2,22.0
down_packet_ratio,0.3712730763708394,True,False,0.017474794359269206,0.006258849846593774,0.33774558323856235,0.2069255427040046,0.1607734418874914,0.23514818927668613,True,raw_all,single_round_R2,23.0
up_down_ratio,0.5173993837977644,True,False,0.008179425290651151,0.0041314792208107035,0.47067608121819066,0.09685561858283473,0.10612686846575813,0.22455285608892783,True,raw_all,single_round_R2,24.0
down_len_p50,0.47641029887231223,True,False,0.010088192458295758,0.003476236020777956,0.4333884800544206,0.11945804090266818,0.08929538870115399,0.21404730321941423,True,raw_all,single_round_R2,25.0
burst_count,0.3688661367694297,True,False,0.014388658182656387,0.005071706404759298,0.335556000230162,0.17038145582807893,0.1302788395506478,0.21207209853629624,True,raw_all,single_round_R2,26.0
len_iqr,0.4750001180713874,True,False,0.007300153695093785,0.002195720223806988,0.43210564440758137,0.08644383642653054,0.05640229538267984,0.1916505920722639,True,raw_all,single_round_R2,27.0
interarrival_p75,0.4389988042898696,True,False,0.008997575207821924,0.0025840641573639917,0.3993553980408124,0.10654363620085025,0.06637783280000031,0.19075895568055432,True,raw_all,single_round_R2,28.0
retry_ratio,0.1724140349225065,True,False,0.015914990890585238,0.008771094198888019,0.15684433504478457,0.18845532939944487,0.2253064122064025,0.19020202555021062,True,raw_all,single_round_R2,29.0
down_ia_mean,0.4348674355865172,True,False,0.00760685964699609,0.002404024601764144,0.39559710900481027,0.09007565573399316,0.06175308867941164,0.18247528447273834,True,raw_all,single_round_R2,30.0
unique_da_count,0.2620804780984307,True,False,0.011300615566106462,0.004556017042850881,0.23841352784327033,0.13381479408743627,0.11703213197802538,0.16308681796957733,False,raw_all,single_round_R2,31.0
burst_size_std,0.3499920917095132,True,False,0.007526806519974292,0.0023102304183087044,0.3183863594386891,0.08912771686767103,0.059343762034298954,0.15561927944688636,False,raw_all,single_round_R2,32.0
subwin_byte_mean,0.30515979799255843,True,False,0.009481873834667772,0.0027471560039598734,0.27760260711986706,0.11227839645785578,0.07056723471308131,0.1534827460969347,False,raw_all,single_round_R2,33.0
interarrival_p50,0.32354724604773066,True,False,0.008083063862828909,0.0022882351224971296,0.2943295926270518,0.09571456705811257,0.05877876055644997,0.14960764008053812,False,raw_all,single_round_R2,34.0
burst_packet_ratio,0.2567360245900461,True,False,0.009200661466756443,0.0036657544707812562,0.23355170057336672,0.10894845616506692,0.09416362076535591,0.14555459250126318,False,raw_all,single_round_R2,35.0
other_packet_ratio,0.22088193195414618,True,False,0.010012178041136447,0.0035394358244135015,0.20093538067435515,0.11855792590270677,0.09091882594699717,0.13680404417468636,False,raw_all,single_round_R2,36.0
interarrival_p90,0.26018682365183654,True,False,0.007189390037590379,0.0021491859445533067,0.23669087821898563,0.08513224274081628,0.05520695176128913,0.12567669090703035,False,raw_all,single_round_R2,37.0
packet_count,0.2200829871800818,True,False,0.00829033378114475,0.0024946147214199507,0.20020858391513566,0.09816892728988091,0.06408011132655025,0.12081920751052226,False,raw_all,single_round_R2,38.0
burst_size_mean,0.2116554143626317,True,False,0.007688901677740841,0.0026534331749880047,0.19254205575118097,0.09104714594940684,0.06815974097756049,0.11724964755938277,False,raw_all,single_round_R2,39.0
unique_sa_count,0.08831111410146475,True,False,0.010642435552276536,0.00502626327915913,0.08033625554052994,0.12602103962265512,0.12911152480561672,0.11182293998960059,False,raw_all,single_round_R2,40.0
subtype_0_ratio,0.10419246482272282,True,False,0.00904882311792082,0.004743575426314227,0.09478345465983769,0.1071504817746315,0.12185001507210008,0.10792798383552309,False,raw_all,single_round_R2,41.0
interarrival_p10,0.19238336337144446,True,False,0.005809211271306381,0.001473846790989855,0.17501035060884418,0.06878903237906622,0.03785925964196606,0.09388621420995881,False,raw_all,single_round_R2,42.0
subwin_packet_cv,0.1184723236705536,True,False,0.00734494433449439,0.0027798063624909076,0.10777378324026948,0.08697421905510283,0.0714059368146746,0.08871797970334898,False,raw_all,single_round_R2,43.0
interarrival_max,0.1500174226909632,True,False,0.006038781924111028,0.0016811998967615385,0.13647022945476597,0.07150746390643448,0.04318561725048377,0.08372110353722807,False,raw_all,single_round_R2,44.0
long_gap_ratio,0.12339406268471098,True,False,0.006742581993877614,0.002083015643213929,0.11225106888169913,0.07984142242963266,0.05350721021806391,0.08186656717646522,False,raw_all,single_round_R2,45.0
interarrival_p95,0.13029747593090546,True,False,0.0060243501454754385,0.0019136986980775206,0.11853107538247727,0.0713365718452773,0.049157901845652545,0.07967518302446903,False,raw_all,single_round_R2,46.0
interarrival_std,0.09954939614551561,True,False,0.00715113382593147,0.0023469177715520284,0.09055967427228892,0.08467923670271546,0.06028616394507198,0.07850835830669212,False,raw_all,single_round_R2,47.0
interarrival_mean,0.10849763545765079,True,False,0.006259593960429876,0.0017107323380780744,0.0986998505947342,0.07412218139675032,0.04394422823399918,0.07225542007516124,False,raw_all,single_round_R2,48.0
interarrival_cv,0.10513757489139763,True,False,0.005692673427973786,0.0014400198979034559,0.09564321738351651,0.06740906441026663,0.036990335452512894,0.06668087241543201,False,raw_all,single_round_R2,49.0
burst_size_min,0.07539687910717507,True,False,0.005506128488367191,0.0023185379111698608,0.06858822933603999,0.06520011636354439,0.05955715974369931,0.06444850181442789,False,raw_all,single_round_R2,50.0
active_subwin_count,0.030960611077702982,True,False,0.006264780366284713,0.002505084880868957,0.028164739948491425,0.0741835955584355,0.06434906227009202,0.055565799259006315,False,raw_all,single_round_R2,51.0
subwin_byte_min,0.05728201196953009,True,False,0.0013300946093091777,0.0002920876902538629,0.052109209563052455,0.015750145221765155,0.007502966910228373,0.025120773898348662,False,raw_all,single_round_R2,52.0
subwin_packet_min,0.04856358030384644,True,False,0.001392153783285853,0.00032749291618316094,0.04417808830687308,0.016485010994195498,0.00841243433203517,0.02302517787770125,False,raw_all,single_round_R2,53.0
subtype_5_ratio,0.03261989845612279,True,False,0.0014951027031184835,0.0003559196728825335,0.029674186819411363,0.017704067463140922,0.009142643176834934,0.018840299153129073,False,raw_all,single_round_R2,54.0
side_packet_ratio,0.0251953398739726,True,False,0.001388563599710889,0.000400765080793869,0.0229200965602176,0.016442498294510288,0.010294604121652583,0.01655239965879349,False,raw_all,single_round_R2,55.0
subtype_14_ratio,0.02693530295796087,True,False,0.0,0.0,0.02450293378708995,0.0,0.0,0.00816764459569665,False,raw_all,single_round_R2,56.0
subtype_13_ratio,0.012576810704170605,True,False,0.0,0.0,0.01144107272221995,0.0,0.0,0.00381369090740665,False,raw_all,single_round_R2,57.0
subtype_1_ratio,0.007851929302919558,True,False,0.0,0.0,0.007142867637710599,0.0,0.0,0.0023809558792368666,False,raw_all,single_round_R2,58.0
subtype_3_ratio,0.005943907679873295,True,False,0.0,0.0,0.005407148252381738,0.0,0.0,0.0018023827507939129,False,raw_all,single_round_R2,59.0
subtype_10_ratio,0.0036512082778239474,True,False,0.0,0.0,0.003321489081226501,0.0,0.0,0.0011071630270755005,False,raw_all,single_round_R2,60.0
subtype_7_ratio,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False,raw_all,single_round_R2,61.0
subtype_2_ratio,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False,raw_all,single_round_R2,62.0
up_len_std,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False,raw_all,single_round_R2,63.0
subtype_12_ratio,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False,raw_all,single_round_R2,64.0
subtype_11_ratio,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False,raw_all,single_round_R2,65.0
subtype_6_ratio,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False,raw_all,single_round_R2,66.0
bssid_known,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False,raw_all,single_round_R2,67.0
rssi_missing_ratio,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False,raw_all,single_round_R2,68.0
subtype_9_ratio,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False,raw_all,single_round_R2,69.0
ctrl_ratio,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False,raw_all,single_round_R2,70.0
subtype_15_ratio,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False,raw_all,single_round_R2,71.0
qos_data_ratio,0.44508108403524593,False,True,,,0.404888422789341,0.0,0.0,-1.0,False,raw_all,single_round_R2,72.0
null_data_ratio,0.47474849267543506,False,True,,,0.4318767418247593,0.0,0.0,-1.0,False,raw_all,single_round_R2,73.0
subtype_4_ratio,0.4599761160531486,False,True,,,0.41843837186030125,0.0,0.0,-1.0,False,raw_all,single_round_R2,74.0
up_len_mean,0.5060805020303296,False,True,,,0.46037934125115854,0.0,0.0,-1.0,False,raw_all,single_round_R2,75.0
len_p90,0.6406686994847071,False,True,,,0.5828136682715537,0.0,0.0,-1.0,False,raw_all,single_round_R2,76.0
len_max,1.0765096751798642,False,True,,,0.9792964026899081,0.0,0.0,-1.0,False,raw_all,single_round_R2,77.0
up_ia_mean,0.490487234406054,False,True,,,0.44619421013463356,0.0,0.0,-1.0,False,raw_all,single_round_R2,78.0
subwin_packet_std,0.16387263786837947,False,True,,,0.14907426144311886,0.0,0.0,-1.0,False,raw_all,single_round_R2,79.0
subwin_byte_std,0.19310918868578053,False,True,,,0.17567063089772483,0.0,0.0,-1.0,False,raw_all,single_round_R2,80.0
interarrival_p25,0.17823496519924964,False,True,,,0.16213961126175946,0.0,0.0,-1.0,False,raw_all,single_round_R2,81.0
subwin_packet_max,0.17518024139917765,False,True,,,0.15936074164489147,0.0,0.0,-1.0,False,raw_all,single_round_R2,82.0
