,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,356,16,4,22,0
Light_T1,2,276,74,44,0
Light_XM,0,95,262,37,0
Sensor,0,48,50,301,0
Socket,0,0,0,0,406
