,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,711,19,36,31,0
Light_T1,8,519,210,53,0
Light_XM,1,129,611,48,0
Sensor,6,127,150,521,0
Socket,0,0,0,0,801
