target_env,n_tasks,soft_variant,t1,t2,mean_regret_selector,mean_regret_always_rf,mean_regret_always_stacking,mean_regret_always_soft_voting,max_regret_selector_task,n_selected_stacking,n_selected_soft_voting,n_selected_rf,n_regret_zero,n_regret_le_tau_repro,n_nonrf_selected,n_nonrf_and_regret_le_tau_repro,n_nonrf_and_regret_zero_tau0,n_nonrf_and_f1_ge_rf_lenient,win_vs_always_rf,loss_vs_always_rf,tie_vs_always_rf,win_vs_always_stacking,loss_vs_always_stacking,tie_vs_always_stacking,mean_f1_selector,mean_f1_always_rf,mean_f1_always_stacking,mean_f1_oracle,uds_min,uds_median,uds_max
R2,25,soft_voting_equal,0.13759225024093813,0.2137835001398824,0.01668000645343908,0.011370565256417131,0.08422374855771858,0.07275667705347728,0.09630931606318194,1,3,21,14,14,4,0,0,0,0,4,21,18,6,1,0.7649134141584898,0.7702228553555117,0.6973696720542102,0.7815934206119287,0.11262664810794865,0.38922450095123073,1.0125041316939714
R3,25,soft_voting_calibrated,0.09803656851781944,0.2421418733518932,0.022936404082600198,0.011292488282284699,0.058838420474124575,0.06277280621610776,0.1144651655427813,0,8,17,11,11,8,0,0,1,1,7,17,15,10,0,0.6679121888402706,0.6795561046405861,0.6320101724487462,0.6908485929228708,0.12327012581256218,0.28618932887360277,1.0197506586516065
R4,25,soft_voting_calibrated,0.12993470281943537,0.21272068822027523,0.01844989424768351,0.020298129984287882,0.07966799435269904,0.058192618954345965,0.14701928143366993,0,5,20,14,14,5,4,4,5,5,0,20,17,8,0,0.7283027539579016,0.7264545182212971,0.6670846538528861,0.746752648205585,0.1649757897448584,0.5413353630510004,1.1298693284677122
R5,25,soft_voting_equal,0.1041932018935652,0.20166548896426872,0.02215907679883772,0.01986622397701754,0.06956238301091178,0.055286878617415616,0.07159828998816531,0,2,23,12,12,2,0,0,0,0,2,23,18,7,0,0.6417642307970474,0.6440570836188675,0.5943609245849732,0.663923307595885,0.15648633400732515,0.49859476671975395,1.1443695204288422
R6,25,soft_voting_equal,0.0860502526586395,0.13076959734287436,0.03182290490046185,0.03182290490046185,0.09081544932764465,0.010906942785800105,0.09673326084680872,0,0,25,5,6,0,0,0,0,0,0,25,20,5,0,0.6239060395366028,0.6239060395366028,0.56491349510942,0.6557289444370648,0.1519143746693141,0.4582563271273114,1.0218710762627035
R7,25,soft_voting_calibrated,0.16073106187609176,0.17406054962014167,0.03611459566189648,0.026865129245184072,0.09241197767457508,0.01563538759712596,0.17510593525515228,5,1,19,6,7,6,3,2,3,2,3,20,15,5,5,0.6687012717816568,0.6779507381983695,0.6124038897689783,0.7048158674435535,0.04897427764089418,0.42544290217022773,1.0981472837278525
