fold_e_out,n_outer_tasks,n_inner_tasks,n_inner_target_envs,n_threshold_candidates,n_grid_points,selected_soft_variant,t1,t2,degenerate_t1_eq_t2,inner_mean_regret_env_equal,inner_mean_regret_task_level,inner_worst_env_regret,inner_worst_env,n_tied_at_objective,n_tied_after_worst_env,tiebreak_stage_used,variant_tiebreak_fired,inner_n_selected_stacking,inner_n_selected_soft_voting,inner_n_selected_rf,inner_uds_min,inner_uds_median,inner_uds_max,outer_uds_min,outer_uds_median,outer_uds_max,t1_alt_reading,t2_alt_reading,soft_variant_alt_reading,alt_reading_params_differ
R2,25,70,5,69,4830,soft_voting_equal,0.13759225024093813,0.2137835001398824,False,0.023792223057130215,0.023792223057130215,0.03272360649081749,R4,1,1,unique_at_objective,False,2,6,62,0.04897427764089418,0.5719850346061524,1.1443695204288422,0.11262664810794865,0.38922450095123073,1.0125041316939714,0.13759225024093813,0.2137835001398824,soft_voting_equal,False
R3,25,70,5,69,4830,soft_voting_calibrated,0.09803656851781944,0.2421418733518932,False,0.008133796676226875,0.008133796676226875,0.01653606899919618,R6,2,2,stage2_threshold_larger,False,2,13,55,0.04897427764089418,0.5613861614018665,1.0981472837278525,0.12327012581256218,0.28618932887360277,1.0197506586516065,0.054224067425112266,0.2421418733518932,soft_voting_calibrated,True
R4,25,70,5,69,4830,soft_voting_calibrated,0.12993470281943537,0.21272068822027523,False,0.021591187563142593,0.021591187563142596,0.030824769297022464,R6,1,1,unique_at_objective,False,3,11,56,0.04897427764089418,0.5313020375053845,1.1443695204288422,0.1649757897448584,0.5413353630510004,1.1298693284677122,0.12993470281943537,0.21272068822027523,soft_voting_calibrated,False
R5,25,70,5,69,4830,soft_voting_equal,0.1041932018935652,0.20166548896426872,False,0.015564130745509625,0.015564130745509629,0.02507267544943832,R6,2,2,stage2_threshold_larger,False,2,10,58,0.04897427764089418,0.5385535086599296,1.1298693284677122,0.15648633400732515,0.49859476671975395,1.1443695204288422,0.054224067425112266,0.20166548896426872,soft_voting_equal,True
R6,25,70,5,69,4830,soft_voting_equal,0.0860502526586395,0.13076959734287436,False,0.018522305683667452,0.018522305683667452,0.02937711278930116,R7,1,1,unique_at_objective,False,1,1,68,0.05947385720933035,0.4672927580150531,1.1443695204288422,0.1519143746693141,0.4582563271273114,1.0218710762627035,0.0860502526586395,0.13076959734287436,soft_voting_equal,False
R7,25,70,5,69,4830,soft_voting_calibrated,0.16073106187609176,0.17406054962014167,False,0.021891481289732666,0.02189148128973267,0.03271527881768319,R6,1,1,unique_at_objective,False,2,2,66,0.11262664810794865,0.47576052828020754,1.0218710762627035,0.04897427764089418,0.42544290217022773,1.0981472837278525,0.16073106187609176,0.17406054962014167,soft_voting_calibrated,False
