task,target_env,n_sources,uds
g0_R4_R5_R6_to_R3,R3,3,0.23556082988771318
g0_R4_R5_R6_to_R7,R7,3,0.22792495320426817
g0_R4_R5_R7_to_R2,R2,3,0.2952179059150305
g0_R4_R5_R7_to_R3,R3,3,0.25409502224640723
g0_R4_R5_R7_to_R6,R6,3,0.1519143746693141
g0_R4_R5_to_R2,R2,2,0.4726435781738743
g0_R4_R5_to_R3,R3,2,0.4272160951435107
g0_R4_R5_to_R6,R6,2,0.5788541106204953
g0_R4_R5_to_R7,R7,2,0.588249419928054
g0_R4_R6_R7_to_R2,R2,3,0.18663985228918423
g0_R4_R6_R7_to_R3,R3,3,0.22463111010615225
g0_R4_R6_R7_to_R5,R5,3,0.22516027946602604
g0_R4_R6_to_R2,R2,2,0.594708368634289
g0_R4_R6_to_R3,R3,2,0.6040817044834096
g0_R4_R6_to_R5,R5,2,0.5758608266617188
g0_R4_R6_to_R7,R7,2,0.5847464044364171
g0_R4_R7_to_R2,R2,2,0.7938192042684028
g0_R4_R7_to_R3,R3,2,0.7550631942224623
g0_R4_R7_to_R5,R5,2,0.7931229922975888
g0_R4_R7_to_R6,R6,2,0.7067666896639522
g0_R4_to_R2,R2,1,0.5411271430590655
g0_R4_to_R3,R3,1,0.2883564868416142
g0_R4_to_R5,R5,1,0.4460310662358323
g0_R4_to_R6,R6,1,0.7053752986528835
g0_R4_to_R7,R7,1,0.5896458317057354
g0_R5_R6_R7_to_R2,R2,3,0.2025542710105448
g0_R5_R6_R7_to_R3,R3,3,0.12327012581256218
g0_R5_R6_R7_to_R4,R4,3,0.18731997851750692
g0_R5_R6_to_R2,R2,2,0.6140832150934462
g0_R5_R6_to_R3,R3,2,0.5642046331553167
g0_R5_R6_to_R4,R4,2,0.5892369737076727
g0_R5_R6_to_R7,R7,2,0.5723492384210854
g0_R5_R7_to_R2,R2,2,0.6515121107496639
g0_R5_R7_to_R3,R3,2,0.6301031199909701
g0_R5_R7_to_R4,R4,2,0.6475426993925522
g0_R5_R7_to_R6,R6,2,0.6446680647656965
g0_R5_to_R2,R2,1,0.5583236144997116
g0_R5_to_R3,R3,1,0.28618932887360277
g0_R5_to_R4,R4,1,0.7122677566202841
g0_R5_to_R6,R6,1,0.4582563271273114
g0_R5_to_R7,R7,1,0.42544290217022773
g0_R6_R7_to_R2,R2,2,0.6474273452533799
g0_R6_R7_to_R3,R3,2,0.616482494508072
g0_R6_R7_to_R4,R4,2,0.5644487083040215
g0_R6_R7_to_R5,R5,2,0.5716208307912193
g0_R6_to_R2,R2,1,0.5359798742607937
g0_R6_to_R3,R3,1,0.6031405677275982
g0_R6_to_R4,R4,1,0.5980915322564136
g0_R6_to_R5,R5,1,0.5898348574098699
g0_R6_to_R7,R7,1,0.04897427764089418
g0_R7_to_R2,R2,1,0.9995582146607976
g0_R7_to_R3,R3,1,1.0197506586516065
g0_R7_to_R4,R4,1,0.9600995435601146
g0_R7_to_R5,R5,1,0.878378738263912
g0_R7_to_R6,R6,1,0.16107292258510855
