unit,config,seed,model,macro_f1,f1_Camera,f1_Light_T1,f1_Light_XM,f1_Sensor,f1_Socket,is_best_base
pos_R5,full94,42,rf,0.7012224296594887,0.8849557522123894,0.2913907284768212,0.681044267877412,0.648721399730821,1.0,False
pos_R5,full94,42,xgboost,0.6603072409777727,0.9226441631504922,0.09540636042402827,0.7036199095022625,0.5798657718120805,1.0,False
pos_R5,full94,42,lightgbm,0.6583908067353137,0.8625730994152047,0.14965986394557823,0.7060158910329172,0.5737051792828686,1.0,False
pos_R5,full94,42,best_base,0.7012224296594887,0.8849557522123894,0.2913907284768212,0.681044267877412,0.648721399730821,1.0,True
pos_R5,full94,43,rf,0.696014444295626,0.8849557522123894,0.26981450252951095,0.6825396825396826,0.6427622841965471,1.0,False
pos_R5,full94,43,xgboost,0.6569126106209839,0.9165487977369166,0.08849557522123894,0.6980920314253648,0.5814266487213997,1.0,False
pos_R5,full94,43,lightgbm,0.6583908067353137,0.8625730994152047,0.14965986394557823,0.7060158910329172,0.5737051792828686,1.0,False
pos_R5,full94,43,best_base,0.696014444295626,0.8849557522123894,0.26981450252951095,0.6825396825396826,0.6427622841965471,1.0,True
pos_R5,full94,44,rf,0.6914411164347813,0.8545454545454545,0.28052805280528054,0.677309007981756,0.6448230668414154,1.0,False
pos_R5,full94,44,xgboost,0.6531123543780806,0.9209039548022598,0.07760141093474426,0.6944757609921083,0.5725806451612904,1.0,False
pos_R5,full94,44,lightgbm,0.6583908067353137,0.8625730994152047,0.14965986394557823,0.7060158910329172,0.5737051792828686,1.0,False
pos_R5,full94,44,best_base,0.6914411164347813,0.8545454545454545,0.28052805280528054,0.677309007981756,0.6448230668414154,1.0,True
pos_R5,full94,45,rf,0.6935335986677011,0.8597285067873304,0.28760330578512394,0.6842105263157895,0.6361256544502618,1.0,False
pos_R5,full94,45,xgboost,0.6590326824903515,0.9230769230769231,0.08185053380782918,0.7048054919908466,0.5854304635761589,1.0,False
pos_R5,full94,45,lightgbm,0.6583908067353137,0.8625730994152047,0.14965986394557823,0.7060158910329172,0.5737051792828686,1.0,False
pos_R5,full94,45,best_base,0.6935335986677011,0.8597285067873304,0.28760330578512394,0.6842105263157895,0.6361256544502618,1.0,True
pos_R5,full94,46,rf,0.6977284530738025,0.8703427719821163,0.2871452420701169,0.6884875846501128,0.6426666666666667,1.0,False
pos_R5,full94,46,xgboost,0.660445173525362,0.9152542372881356,0.10782608695652174,0.6969353007945517,0.5822102425876011,1.0,False
pos_R5,full94,46,lightgbm,0.6583908067353137,0.8625730994152047,0.14965986394557823,0.7060158910329172,0.5737051792828686,1.0,False
pos_R5,full94,46,best_base,0.6977284530738025,0.8703427719821163,0.2871452420701169,0.6884875846501128,0.6426666666666667,1.0,True
pos_R5,full94_minus_rssi,42,rf,0.6756305912756534,0.5212765957446809,0.4653179190751445,0.7324675324675325,0.6590909090909091,1.0,False
pos_R5,full94_minus_rssi,42,xgboost,0.7288858292769937,0.6167247386759582,0.5374823196605375,0.7817938420348058,0.7084282460136674,1.0,False
pos_R5,full94_minus_rssi,42,lightgbm,0.7334187064794107,0.624561403508772,0.5521126760563381,0.7860026917900403,0.7044167610419027,1.0,False
pos_R5,full94_minus_rssi,42,best_base,0.7334187064794107,0.624561403508772,0.5521126760563381,0.7860026917900403,0.7044167610419027,1.0,True
pos_R5,full94_minus_rssi,43,rf,0.6800649685181419,0.5266903914590747,0.4710860366713681,0.7404479578392622,0.6621004566210046,1.0,False
pos_R5,full94_minus_rssi,43,xgboost,0.731767941506001,0.6153846153846154,0.540084388185654,0.7929634641407307,0.7104072398190046,1.0,False
pos_R5,full94_minus_rssi,43,lightgbm,0.7334187064794107,0.624561403508772,0.5521126760563381,0.7860026917900403,0.7044167610419027,1.0,False
pos_R5,full94_minus_rssi,43,best_base,0.7334187064794107,0.624561403508772,0.5521126760563381,0.7860026917900403,0.7044167610419027,1.0,True
pos_R5,full94_minus_rssi,44,rf,0.6790980733807815,0.518783542039356,0.48158640226628896,0.7398692810457517,0.6552511415525114,1.0,False
pos_R5,full94_minus_rssi,44,xgboost,0.7342433967721986,0.6319444444444444,0.5369318181818182,0.7903225806451613,0.7120181405895691,1.0,False
pos_R5,full94_minus_rssi,44,lightgbm,0.7334187064794107,0.624561403508772,0.5521126760563381,0.7860026917900403,0.7044167610419027,1.0,False
pos_R5,full94_minus_rssi,44,best_base,0.7342433967721986,0.6319444444444444,0.5369318181818182,0.7903225806451613,0.7120181405895691,1.0,True
pos_R5,full94_minus_rssi,45,rf,0.6737062636053655,0.5195729537366548,0.45714285714285713,0.7350649350649351,0.6567505720823799,1.0,False
pos_R5,full94_minus_rssi,45,xgboost,0.7318408180885126,0.6215277777777778,0.5418439716312057,0.7854251012145749,0.7104072398190046,1.0,False
pos_R5,full94_minus_rssi,45,lightgbm,0.7334187064794107,0.624561403508772,0.5521126760563381,0.7860026917900403,0.7044167610419027,1.0,False
pos_R5,full94_minus_rssi,45,best_base,0.7334187064794107,0.624561403508772,0.5521126760563381,0.7860026917900403,0.7044167610419027,1.0,True
pos_R5,full94_minus_rssi,46,rf,0.676989905037001,0.522202486678508,0.4648493543758967,0.7395833333333334,0.6583143507972665,1.0,False
pos_R5,full94_minus_rssi,46,xgboost,0.7316424188202135,0.6167247386759582,0.5441595441595442,0.790257104194858,0.7070707070707071,1.0,False
pos_R5,full94_minus_rssi,46,lightgbm,0.7334187064794107,0.624561403508772,0.5521126760563381,0.7860026917900403,0.7044167610419027,1.0,False
pos_R5,full94_minus_rssi,46,best_base,0.7334187064794107,0.624561403508772,0.5521126760563381,0.7860026917900403,0.7044167610419027,1.0,True
jit_R6,full94,42,rf,0.7488747806643499,0.8159771754636234,0.617169373549884,0.6191780821917808,0.6920492721164614,1.0,False
jit_R6,full94,42,xgboost,0.7783647964241942,0.9024707412223667,0.6222791293213829,0.6547085201793722,0.7123655913978495,1.0,False
jit_R6,full94,42,lightgbm,0.7640759809256255,0.9057104913678619,0.5947441217150761,0.640625,0.6793002915451894,1.0,False
jit_R6,full94,42,best_base,0.7783647964241942,0.9024707412223667,0.6222791293213829,0.6547085201793722,0.7123655913978495,1.0,True
jit_R6,full94,43,rf,0.7536787218386124,0.8394366197183099,0.6062717770034843,0.6149584487534626,0.7077267637178052,1.0,False
jit_R6,full94,43,xgboost,0.7769578127010457,0.9064935064935065,0.6169665809768637,0.6557734204793029,0.7055555555555556,1.0,False
jit_R6,full94,43,lightgbm,0.7640759809256255,0.9057104913678619,0.5947441217150761,0.640625,0.6793002915451894,1.0,False
jit_R6,full94,43,best_base,0.7769578127010457,0.9064935064935065,0.6169665809768637,0.6557734204793029,0.7055555555555556,1.0,True
