,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,272,1,81,9,0
Light_T1,3,1,304,57,0
Light_XM,1,289,70,3,0
Sensor,3,247,26,86,0
Socket,0,0,0,0,363
