,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,362,2,1,0,0
Light_T1,1,88,179,95,0
Light_XM,3,95,270,1,0
Sensor,17,232,46,68,1
Socket,0,0,0,0,376
