,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,300,9,32,22,0
Light_T1,4,88,159,114,0
Light_XM,4,55,300,4,0
Sensor,7,87,27,241,0
Socket,0,0,0,0,363
