,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,341,18,0,3,0
Light_T1,1,359,0,3,0
Light_XM,0,222,141,2,0
Sensor,0,3,32,328,0
Socket,0,0,0,0,363
