,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,108,0,1,0,0
Light_T1,0,92,16,1,0
Light_XM,0,12,97,0,0
Sensor,0,1,0,108,0
Socket,0,0,0,0,109
