,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,286,16,26,71,0
Light_T1,4,240,80,70,0
Light_XM,3,128,212,52,0
Sensor,2,68,39,296,0
Socket,0,0,0,0,395
