,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,107,0,0,3,0
Light_T1,0,109,0,0,0
Light_XM,0,0,93,18,0
Sensor,0,0,8,101,0
Socket,0,0,0,0,113
