,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,276,32,20,37,0
Light_T1,111,15,97,140,0
Light_XM,13,143,138,75,0
Sensor,8,109,44,199,4
Socket,14,0,0,84,278
