,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,265,0,41,50,6
Light_T1,1,153,108,101,0
Light_XM,1,55,240,69,0
Sensor,1,78,24,260,0
Socket,0,0,0,0,363
