,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,109,0,0,0,0
Light_T1,0,77,32,0,0
Light_XM,2,14,92,1,0
Sensor,0,0,0,109,0
Socket,0,0,0,0,109
