,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,684,31,31,49,2
Light_T1,47,175,489,79,0
Light_XM,40,110,578,61,0
Sensor,27,154,258,362,3
Socket,12,0,0,0,789
