,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,299,23,1,76,0
Light_T1,3,262,65,64,0
Light_XM,2,112,222,59,0
Sensor,2,45,38,320,0
Socket,0,0,0,0,395
