,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,149,43,84,56,30
Light_T1,4,70,179,110,0
Light_XM,4,29,278,54,0
Sensor,4,94,64,201,0
Socket,0,0,0,0,363
