,precision,recall,f1-score,support
Camera,0.972972972972973,0.9908256880733946,0.9818181818181818,109.0
Light_T1,0.875,0.6422018348623854,0.7407407407407407,109.0
Light_XM,0.7132352941176471,0.8899082568807339,0.7918367346938775,109.0
Sensor,1.0,0.9908256880733946,0.9953917050691244,109.0
Socket,0.990909090909091,1.0,0.9954337899543378,109.0
accuracy,0.9027522935779817,0.9027522935779817,0.9027522935779817,0.9027522935779817
macro avg,0.9104234715999422,0.9027522935779817,0.9010442304552525,545.0
weighted avg,0.9104234715999422,0.9027522935779817,0.9010442304552525,545.0
