,Camera,Light_T1,Light_XM,Sensor,Socket
Camera,116,0,0,1,0
Light_T1,0,94,3,13,0
Light_XM,0,9,95,6,0
Sensor,1,10,1,97,0
Socket,0,0,0,0,110
